Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@parlindungansitindaon5984,"😂😂😂😂 6:24  kunci nya kalau sembako tidak jalan maka Lufi pasti kalah, selamat tinggal Bansos😂😂😂",2024-11-14T16:10:30Z,0,0
@zulkifli7538,"*SIAPA LAGI YANG KAU TIPU, RAKYAT GA BODOH, CACAD ETIKAPUN DILAKONI, MALU GA YA* .",2024-11-14T16:01:05Z,0,0
@SupriYatno-mj7tb,Sambo pinter retorika omon omon rambo pinter kerja bela warga jateng,2024-11-14T15:34:14Z,0,0
@NardiEti-d7q,Berarti masyarakat sumatra utara harus berjuang melawan coklat yg harusnya netral,2024-11-14T15:27:34Z,0,0
@didialbab1722,AnalisanyaSeperti ngobrol di warung kopi banyak yang tidak akurat berisikan narasi,2024-11-14T14:27:24Z,0,0
@abufirmanfirman1936,Jgn2 samsul lgi kumat krn telat munum obatnya....shg ngamur buat kebijakan sbg wapres.,2024-11-14T14:10:47Z,0,0
@solahudinasro234,sangat super...info2nya..❤,2024-11-14T14:08:23Z,0,0
@victoryproduction2702,Sudah bisa ditebak pasti lewat kasus hukum menekannya 😮,2024-11-14T14:06:59Z,0,0
@tegcyadi1867,Jokowi cawe cawe di Pilkada Jateng dgn tujuan anaknya si Gibran menang di pilpres 2029,2024-11-14T13:54:19Z,0,0
@SupriYatno-mj7tb,"Sambo manis dimulut, rambo sedikit bicara banyak kerja",2024-11-14T13:20:19Z,0,0
@mujionomujiono8478,Orang cerdas pasti pilih andika.,2024-11-14T13:17:24Z,0,0
@renomardina7603,Bedah case Tom lembong donk gais,2024-11-14T13:14:20Z,0,0
@arfanmahatmaja926,Bahas Tom Lembong dong,2024-11-14T13:12:44Z,0,0
@herizonmahmud3197,Saya Suka dg Pak Andika Perkasa. Tapi diSayangkan. Msh Di Bawak Kendali. Nenek Megawati. PDIP. Kami tdk Suka lgi dg PDIP. 😢😢😢,2024-11-14T13:00:32Z,0,0
@ALTMagetan,Pilih.. Rambo.. Ojo.. Sambo,2024-11-14T12:57:00Z,0,0
@hendrowibowo2142,Multi fungsi 😂😂😂,2024-11-14T12:42:15Z,0,0
@MochaU-h5d,"Dlu masih menjabat presiden dituduh cawe"", sekarang udah jd masyarakat biasa jg dituduh cawe"" 😳😳😳
Ngakak liat media yg satu ini🤭🤭🤭",2024-11-14T12:15:04Z,0,0
@agungpribadi3565,"Jokowi,Jokowi _ polisi,,,😊😊😊,,,melu pasang gambar jg Baleho to Pulisi e,,,pastilah,, Presiden wae melu kampanye lhooo,,,😊😊😊",2024-11-14T11:47:25Z,0,0
@arissurisno6187,Jgn mau pilih antek antek mulyono,2024-11-14T11:28:29Z,0,0
@rendyprasetya1818,Bismillah Tetep pak Ahmad Luthfi - Gus Yasin gaassss..!!!!!,2024-11-14T11:03:33Z,0,0
