Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@nanangchannelofficial7609,Top sih,2024-11-14T18:24:30Z,0,0
@laurentiushandoyo5296,"Orang hebat yang salah jalan, sayang banget",2024-11-14T18:24:27Z,0,0
@agusarhan,apakah suara 16% itu milik pak Mahfud ????,2024-11-14T18:23:21Z,0,0
@ekoyudhistira7663,"Dulu waktu bapak menkopulhukam, kenapa ga diberesin, kenapa ga diusut, kenapa sekarang udh ga menjabat baru vokal.... 
Vokal karna ga ada jabatan kah? Kalau pas ada jabatan melempem......",2024-11-14T18:13:55Z,0,0
@lukyharyanto4539,Mantap,2024-11-14T18:11:15Z,0,0
@HancurSemuanya,"Pak mahmud skrng lagi waras , tapi yg bikin aku heran , dia kalo masuk politik malah jadi ugal ugalan",2024-11-14T18:04:08Z,0,0
@ongkijayaputra904,"Saya masyarakat biasa dan sudah tau lah Indonesia gak maju2, korupsi merajalela 😂",2024-11-14T18:03:17Z,0,0
@ZulkifliHarahap-ke5ei,Wah kl sy jd menko habis semua,2024-11-14T17:59:59Z,0,0
@SurgawanPutra,"Di Negeri Konoha apa sih nggak bisa ke Beli. Mulai dair Pilpres, Pilcaleg, Pilgub, Pilkada smua menggunakan metode ""Kuasa Uang"" msuk ke institusi mulai dri Eksekutif, Legislatif bahkan Yudikatif smua menggunakan metode yg sm itu sudh  mendarah daging di Bumi Pertiwi dri dlu. Selagi Penjahat Narkoba, Mavia, Koruptor, Curanmor, Judol di Negeri Konoha msih meraja lela jngan harap Warganya Makmur. Aku pribadi sbgai Warga Konoha udh mmmmmuuuakkk dg Org2 Munafik di Negri Konoha, pun klo ke depannya Negri Konoha udh membaik, udh sehat itu Bonus. Aplgi kalau ad manusia yg mnyebut dirinya sperti Malaikat itu hanya omong kosong. Saat ini aku pribadi hanya lbih percaya aj sm Agama dan Tuhan, yg penting Hablulminallah wa hablulminannas jl bersamaan udh aman hidup ini.",2024-11-14T17:58:27Z,0,0
@MTCreator,"Mahfud... Mahfud.....
Kau bongkar aib sendiri
Tau sekali kau dengan dunia hukum
Artinya tau sendiri kita
Inilah namanya maling teriak maling",2024-11-14T17:56:18Z,0,0
@ittamm3818,"Saya dulu kmarin kecewa kenapa pak mafud ini sama ganjar bukan prabowo,😅",2024-11-14T17:53:50Z,0,0
@juaan3722,Dari pak mahfud kita tau kalau ternyata hukum di Indonesia tidak seperti yg kkta pikirkan. Justru malah lebih buruk dan menjijikan.,2024-11-14T17:53:16Z,0,0
@ZulkifliHarahap-ke5ei,pak wakfu menko knp gk bongkar habis..sudah  di luar  percuma koar2,2024-11-14T17:53:12Z,0,0
@sumantriify,"Beliau Dulu Menkopolhukam Diam sja giliran udh lengser koar-koar kemana mana,,",2024-11-14T17:52:02Z,0,0
@akunterbaru02-k1y,obrolan nya asik dan edukatif tapi waktunya terbatas sih pdahal seru sumpah nontonnya,2024-11-14T17:51:00Z,0,0
@fauzanaz4636,Ini bukan program somasi kan? Bukan pinggir jurang lg inisi 😅😅😅,2024-11-14T17:50:10Z,0,0
@GusurAryono,Pak mahfud normal kembali kembali ke jatidirinya.,2024-11-14T17:47:30Z,0,0
@abymasbuloh8057,tanur kalau di bolywood tanos..,2024-11-14T17:46:58Z,0,0
@arispurniawan5558,Bersihkan Hakim dan aparat2 hukum yang korup. Di Indonesia,2024-11-14T17:41:57Z,0,0
@Aku-x7e,Yang Bisa Hanya Presiden. Smogah Pak Presiden Sungguh mau bersih²,2024-11-14T17:39:53Z,0,0
@rediyantoyanto897,"Inget kata"" orang dulu, kalo purusan sama polisi/ hukum , hilang 1 ekor kerbau, bisa abis 1 kandang😂",2024-11-14T17:39:33Z,0,0
@RyanGarcia-l3z,Enteng banget pak mafhudz pas bahas komdigi😢,2024-11-14T17:39:23Z,0,0
@shortsdwon,udah te bongkar mas bro ...kalo nga ke bongkar mn berani ngomong😂,2024-11-14T17:34:36Z,0,0
@dwisetiyowidodo6837,Udah tau sarangnya sewaktu menjabat menko polhukam ya diam saja apa guna😂,2024-11-14T17:31:41Z,0,0
@muzanyyahya5187,"kerusakan nya masif, semua pihak harus bantu presiden skrg, presiden sendiri tidak mungkin bisa menangani masalah serumit ini sendirian, demi kebaikan bangsa ini",2024-11-14T17:31:15Z,0,0
@Ozhonrembolz,Emg lawak instansi hukum dingri ini dri polisi jaksa hakim hampir smua brgsk !!!!,2024-11-14T17:30:03Z,0,0
@ishaqtsaqofi1245,"Kenapa bukan beliau yah yg jd penegak hukum di Indonesia.

Sakit sekali dengar kenyataan yg dipaparkan pk Mahfud MD ini.",2024-11-14T17:29:04Z,0,0
@rakasamahatma,Wiiihh mantap banget pak mahfud,2024-11-14T17:29:03Z,0,0
@andiromadon759,1 T kasus siapa ya,2024-11-14T17:28:23Z,0,0
@aanniam35,Hukum di Indonesia sama dengan t4i,2024-11-14T17:26:15Z,0,0
@adribahri7292,Alhamdulillah pa mahfud kembali ke setelan awal lagi ❤,2024-11-14T17:25:25Z,0,0
@angelinaslacker5031,sidedy ngomong serius malah ketawa ketawa trus,2024-11-14T17:23:22Z,0,0
@RyanGarcia-l3z,Saya berharap suatu saat pak mahfudz bisa jadi pres/wapres,2024-11-14T17:23:15Z,0,0
@aminelzailady714,Ladusing perut buncit😂,2024-11-14T17:21:28Z,0,0
@ediatmon81,Pak Mahfud orang jujur dan bersih .,2024-11-14T17:19:57Z,0,0
