Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@Tekotok,Kita cinta sama lu semua bre yang udah dukung channel Tekotok sampe sekarang. BISMILLAH KOMISARIS!,2021-12-08T15:34:05Z,4605,188
@MichaelKeenantVianney,Komisaris ga tuhh XD,2021-12-08T15:34:45Z,45,
@RMA_ANIMATION12,Mampirr,2021-12-08T15:35:07Z,21,
@gamefirst2301,BISMILAH BESOK ADA TUKANG BAKSO BAWA WALKY TALKY wkwkwk,2021-12-08T15:35:32Z,47,
@rizkiaaditya2488,Bismilah,2021-12-08T15:36:01Z,12,
@irfangzd7892,Sooo baksooo,2021-12-08T15:37:25Z,12,
@riskidewantoro5846,taiiii hahahahaha,2021-12-08T15:37:28Z,1,
@jhanmaulana8482,Bolh gx bang di sond yh jadin Shorts bismillah komisaris!,2021-12-08T15:37:43Z,8,
@Richsteyr,KOMISARIS!! BISMILLAH!!,2021-12-08T15:38:07Z,5,
@lubukpakammengaji3422,"Ada tukang bakso
Bawa walky talky
Kijang satu, ganti",2021-12-08T15:38:19Z,13,
@dijesoendal8736,OOOOOOOHHHHHHHH 👊😤👊,2021-12-08T15:39:10Z,6,
@dickyaryanova,mantap jiwa ❤️,2021-12-08T15:39:29Z,4,
@akira454,Bismillah dapet jodoh,2021-12-08T15:39:58Z,3,
@VideoKocacq,Bismillah besok tekotok diintai calon komisaris,2021-12-08T15:40:29Z,3,
@TheEd9e,Tingkatkan jedag jedug bre,2021-12-08T15:40:32Z,3,
@yadnanggt2847,GAY,2021-12-08T15:41:05Z,2,
@genuissr,"Bismillah, Komensaris Pertamina 😂😂",2021-12-08T15:41:08Z,3,
@alvinsimanusia663,Judul musik dj nya apaan tuh bang asik keknya,2021-12-08T15:42:46Z,4,
@tejaprismaaprilianputra3074,Nyimak,2021-12-08T15:43:33Z,1,
@neyzillaalzahra2589,Yoyoy,2021-12-08T15:44:59Z,1,
@akuncadangan9848,Wkwk,2021-12-08T15:45:02Z,2,
@vbulls7845,direktur PLN yg baru min,2021-12-08T15:45:18Z,2,
@KIKYSPORTY,Bg dek megi 😭😭,2021-12-08T15:45:18Z,2,
@andreasshell7514,Judul dj nya apaan bre...,2021-12-08T15:45:36Z,5,
@Grizyl,😱😱😱😱😱😱😱😱😱,2021-12-08T15:46:51Z,0,
@wahiddinwiroh5213,👍👍👍👍,2021-12-08T15:50:37Z,0,
@daniellsaday5220,Komisaris itu apa bre,2021-12-08T15:51:43Z,3,
@ahmadalfian4507,Yyeeeeeeeeeeyyyyyyyyy🥳🥳🥳🥳🥳👏👏👏👏👏👏👏,2021-12-08T15:53:23Z,0,
@dkyy9861,Jam brp ini njg,2021-12-08T15:56:56Z,0,
@CPJGAMING,Udah,2021-12-08T15:58:13Z,0,
@simamorasimamora1606,Sekian lama aku menunggu 😂 bismilah KOMISIKIN🤣🤣🤣,2021-12-08T15:58:34Z,0,
@bobdrawingart,BISMILLAH BISA COLLAB 😄😄😄😄,2021-12-08T16:00:45Z,1,
@gunturpramuyoga8813,"Keren bang cerita lu..  inovatif, ikutin viral sekarang, sefrekuensi sama anak jaman sekarang😁🖒🖒🖒 BISMILLAH direkrut tekotok😅",2021-12-08T16:02:33Z,0,
@cyaonix,Wkwk,2021-12-08T16:02:59Z,0,
@donysetiawan7309,Bkin kompilasi bre,2021-12-08T16:03:21Z,0,
@mechan28,next bahas ISILOP yang kalo gerak nungguin piral dulu,2021-12-08T16:08:05Z,0,
@captainkidd2223,Bismillah Komisaris 🥲,2021-12-08T16:08:51Z,0,
@danielgmml0757,Bismilah komisaris ohhhhhhhhhhhh😭,2021-12-08T16:12:28Z,1,
@ririch223,"Riques donk Bre yg lg Greget
seorang kakek yg lg ngrebutin Hak Anak Yatim",2021-12-08T16:12:50Z,1,
@andriariandi1580,Konsepnya mirip komuk santuy (jiplak),2021-12-08T16:16:08Z,0,
@YudaOktav,Gas gas gas keun,2021-12-08T16:16:17Z,0,
@muhammadakbar2718,Ga ah kamu gay,2021-12-08T16:18:21Z,0,
@vinacntik347,GAY(jangan begitunya lain kali Waterboom men),2021-12-08T16:19:39Z,0,
@rezanurrochmat1366,Komisaris ga tuh breee wkwkwkw,2021-12-08T16:22:18Z,0,
@phantomh,"ting ting ting...
so baksooooo",2021-12-08T16:27:53Z,0,
@Wahyu-yl3gt,Yoi bre,2021-12-08T16:32:30Z,0,
@CariIlmuchanel,Keren keren mas🤣😎,2021-12-08T16:33:35Z,0,
@topandirgantaras.2077,Sukses truss bre,2021-12-08T16:35:59Z,0,
@maswijayafirdaus4959,OOOOOOOOOOOOOOOOOOOOHHHHHHHHHHHHHHHHHHHHHHHHHHH,2021-12-08T16:39:05Z,0,
@SirrRolland,Lapyuu Tu Bang,2021-12-08T16:42:13Z,0,
@sholichan7395,JOKOWI JANCOK..... bismillah Komisaris....,2021-12-08T16:58:21Z,1,
@fahrozijanuardi,"Gw belum subscribe, gimna dong
Apakah bisa jadi komisaris?
Bismillah komisaris...",2021-12-08T16:59:31Z,0,
@matcoeng2089,"Dari season awal lu buat konten ga pernah gue ketinggalan nnton anime lu bre, Give away nya di tunggu bre",2021-12-08T17:02:03Z,0,
@cukongsakti2813,Gua tolak cinta lu bree... #BISMILLAHKOMISARIS!,2021-12-08T17:08:33Z,0,
