Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@PutuDarsana-w4g,"Canel apaan ini,  kerjaannya jelekin jokiwi aja, ngundang 10 musuh jokowi trus ngundang satu pro jokowi, inilah canel apaan cong",2024-11-08T09:10:47Z,0,0
@alifsan,"Ya kan disetujui ama DPR,jelas",2024-11-05T23:49:54Z,0,0
@ronysulaiman3230,"Minta audit dong jangan enak enak saja, uang rakyat yg dipakai loh , fantastis lagi jumlahnya",2024-11-01T03:28:02Z,0,0
@andjarkumara1741,Seretttttttt,2024-10-30T01:27:42Z,0,0
@ParidsIda,Ya kan dpr setuju berarti gak sendirian dong asal d lanjutin ma presiden slanjutny.ada uu ny dah resmi.,2024-10-30T00:14:21Z,0,0
@mauladih3567,adili sj jkwi biar dia bertanggung jwb atas perbuatannya sendr jgn slhkan rakyat kl sdh begini,2024-10-25T14:56:06Z,0,0
@mauladih3567,"nm pd diem bae sekarang sdh terjadi😂😂😂hrsnya dr awal dpr dan rakyat bersatu halau jkwi 
anaknya melanggar jg pd diem bae😂😂😂",2024-10-25T14:54:40Z,0,0
@EkoWibowo-x2x,Entahlah... ini pengamat bodoh atau memang sengaja bikin gaduh... kebanyakan yg disampaikan berdasar  prasangka buruk.,2024-10-24T02:52:00Z,0,0
@susiyanialwan4238,"Ikn adalah proyek mercusuar murni jokowi, dia mw tampil beda dibanding presiden"" sebelum dia, tanpa disadari ternyata pindahin ibukota ga gampang dan butuh bbrp th dan biaya maha besar, di masa dia semua proyek dikebut selesai  tanpa pertimbangan resiko yg mungkin timbul !",2024-10-24T00:33:27Z,0,0
@hlily4332,Mungkin lagi mimpi tahu tahu kok jd sprti ini jadinya iya namanya mimpi bisa benar bisa tidak itulah yg terjadi,2024-10-23T14:37:03Z,0,0
@muhammadsyafii1323,No proyek No money. 😂,2024-10-22T11:36:23Z,0,0
@EndangSaripudin-oz8wv,RAKYAT. BANGSA. INDONESIA. BERKEHENDA. IKN. SEGERA.  RAMPUNG.  SUPAYA. KEMEGAHAN. IKN   DAPAT. NYATA.  JADI. KEBANGGAAN. BANGSA. INDONESIA.    !!!,2024-10-22T10:38:07Z,0,0
@kampak212,IKN hasil kolaborasi dengan para penjilat dan para koruptor,2024-10-22T03:36:09Z,0,0
@kampak212,IKN : Indonesia Korupsi Nepotisme,2024-10-22T03:33:39Z,0,0
@rendiwidi7719,"Kalau negara bisa berhutang dan bayar dengan bunga triliunan serta punya perusahaan BUMN,pajak,dan bea cukai yg notabene penghasilannya diperuntukan untuk hutang,buat apa berhutang kalau hutangnya malah bikin boncos puluhan tahun,knpa gk dibangun satu2 saja itupun dsesuaikan dengan keperluan negara dan masyarakatnya.😅",2024-10-22T01:59:56Z,0,0
@endangsubekti9293,Tenang saja nanti di tuntut di akhirat saja😂😂,2024-10-21T16:52:47Z,0,0
@KemasAlimuddin,"Dari awal rencana IKN dia sudah berbohong dengan mengatakan pemindahan ini sudah direncanakan oleh Presiden Soekarno, tahun 1960 an itu kita sedang gembiranya dengan kemerdekaan jadi tidak ada Soekarno ingin memindahkan Ibukota, dan lagi tahun 1960 an inikan Jokowi baru lahir dimana sumbernya dia dapat cerita ini, jadikan bohong, kini rakyat yang diikut sertakan karena akan mangkrak.",2024-10-21T15:55:28Z,0,0
@AhmadFauzi-xk6jm,Mulyono buang buang duit,2024-10-21T13:06:58Z,0,0
@paintendo3926,"Selamat datang di *JAWIRNESIA*
Negara ini milik king jawir,
Yang dia maksud *""rakyat""* adalah rakyat tiongkok,
Karena king jawir kan hobinya berbisnis dengan xi jinping",2024-10-21T08:38:56Z,1,0
@anggakusuma4486,"Ikn proyek supaya ada anggaran , duit , saya masih kesusahan jadi warga negara indonesia",2024-10-21T02:53:43Z,0,0
@taigepengpenyok6020,"Tapi herannya banyak chanel pribadi ataupun media masih elu elukan Jkwi entah krn dibayar atau sbg buzzer misalnya:

- Tribun News

- Grobogan Gokil

- Liputan 6 

- dll 

*kalau muncul di beranda saya postingan dari chanel di atas maka biasanya langsung saya klik tidak tertarik atau saya klik jangan recomendasikan chanel* 

banyak kalangan juga belum paham kondisi yg sebenarnya bgmn begitu banyak kebohongan dilakukan Jkwi, Undang Undang & Aturan Negara apapun asal demi kepentingannya pribadi akan dia ubah semaunya, dsb

Sebuah catatan/ sejarah kelam negara ini telah ditorehkan olehnya

Bahkan pemerintahan 2024 hasilkan wapres FufuFafa yg penuh kontroversi lolos belum cukup usia krn peran hakim MK bernama Usman/ pamannya (adik ipar dari Jkw), banyak *menyerang pribadi presiden Prabowo* & keluarganya di kaskus, obsesi organ tertentu atas nama artis  wanita sekian banyak, dll  

*PEACE*",2024-10-20T16:49:14Z,0,0
@DidiHilman-tm8wi,Drun kadrun  narasi sesat...ngomong sama berak sama lo...,2024-10-20T13:12:27Z,0,0
@DaboRibo-r5j,Kalau ikn ga tuntas mubajir  tu uang rakyat.siapa yg tanggung jawab kalau mangkrak,2024-10-20T12:29:12Z,0,0
@TarjanTarjan-t3y,😅😅😅😅😅😅😅😅😅😅😅,2024-10-20T11:46:33Z,0,0
@HerryIrawanputra-ii8tc,"Dia berfikir seolah olah negara ini milik pribadinya dan rakyat ini adalah babunya,mangkanya seenak jidat dia bangun ini itu tanpa musyawara dg rakyat dulu,habisin uang negara,memalak rakyat dg pajak,itu kinerja jokowi slma 10thun",2024-10-20T06:28:31Z,0,0
@ArisSaptono-qu9uc,"Sotoy emang elu siapa... nentuin sendirian, bikin sensasi biar heboh & konten videonya banyak di upload netizennya & akhirnya uang dia keruk se toren bukan se ember. Dapat uang dari bikin konten video memfitnah orang itu haram & dosanya buat hari akhir nanti. Selamat menikmati.",2024-10-20T03:17:53Z,0,0
@zeinalhabsyi9605,Si jokowi adalah presiden konoha terkoplak abad ini.. 🤣🤣🤣,2024-10-19T23:26:32Z,0,0
@antonkamal462,Mulyono harus dituntut,2024-10-19T11:31:18Z,0,0
@ADUTROHMAT,"""ini mau bikin Ibu kota, atau mau bikin backdrop sebetulnya""

punten saya ketawa ",2024-10-19T08:35:31Z,0,0
,Pasukan bawah tanah jokowi dan para buzer rp itu pindahin ke IKN biar rame kan di IKN. Biar ada kehidupan. Pindahin lah pakai LST tni al biar gratis. Karena mereka pasti gak mampu kalau harus pindah dengan biaya sendiri.,2024-10-19T01:04:18Z,0,0
@AnamLu950,Dikadalin si ijasah palsu,2024-10-19T00:00:11Z,0,0
@Capten777,Suruh si mulyono dan gerombolannya tanggung jawab jgn rakyat jadi tempat meras dgn berbagai macam pajak baru,2024-10-18T13:30:33Z,0,0
@m4sd1d1,"Y g mkn lah nentuin sendirian. Waktu saat ikn diniatkan, sgt didukung ibu mega dan PDIP....LoL",2024-10-18T12:38:45Z,0,0
@budijaya9686,"Mulyono itu type orang paling ambisius,ugal"" an,sombong&songong,tdk tau malu dll 😂😂",2024-10-18T12:21:48Z,0,0
