Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@Solluu_Chanel_07,Banyak Omong Juga Kau Akbar 🙄😏 Kalian Pintar Berbicara Dan Memutar balikkan Kata 😡🤦 Kasihan Negara Ini Melihat Orang Pintar Macam Kau,2024-11-13T19:25:04Z,0,0
@spiderzaini1982,Betul pk faizal,2024-11-10T17:08:01Z,0,0
@logandglydrz3427,Si Macan Asia 🤣,2024-11-10T15:57:46Z,0,0
@HerosEss,Dikabinet Prabowo masih banyak korupsi.,2024-11-10T13:15:32Z,0,0
@MuhammadAmin-qz3gw,Maaf...bapak2..yang ahli dan berpendidikan yang mampu dalam bidangnya....kalau menurut saya..yang orang awam...berfikir ada strategi yang di lakukan prabowo tanpa dapat di analisa orang lain....kita lihat saja...apa yang akan dilakukannya dalam 6 bulan kedepan...saya lihat perubahan apa yang akan di lakukan presiden kita prabowo doakan dan dukung beliau   .aamiin...saya punya analis mungkin sama dengan pak prabowi...semoga ada kebaikan untuk bangsa dan negara serta rakyat nya aamiin❤❤❤,2024-11-10T11:41:54Z,2,0
@subechi0675,Jangan kejar2 yg jauh apalagi  orang yg lemah yg depan mata aja banyak tangkap bos lagi bulkan yg kecil2 kaya kepala desa.,2024-11-10T09:32:58Z,0,0
@firstya-uw2ei,"Saya kira kabinet Prabowo kita bisa asumsikan sbb ...1. kita lihat saja progres kabinet ini per 100 hari ... 2. Sengaja 17 mentri dipertahankan, adalah tak lain bila dari salah satu nya ada yg trlibat korupsi, itu dengan mudah menangkap nya, dan bila juga ada yg masih dableg ngekor reziem mulyono akan mudah memecat nya ...",2024-11-10T00:59:05Z,1,0
@kuntizach4052,"Jgn hanya omom2 aja, kita hrs segera bertindak klu org2 penguasa TDK berbuat sigap",2024-11-09T11:09:01Z,0,0
@kuntizach4052,"Jgn hanya omom2 aja, kita hrs segera bertindak klu org2 penguasa TDK berbuat sigap",2024-11-09T11:08:40Z,0,0
@Arzen21,"Yg udah ada bukti ngga Di tangkep...
Yg belum terbukti ditangkep ...
Inj apa cuma OMON OMON doang Berantas Korupsinya???????",2024-11-09T05:58:00Z,0,0
@Publicenemy69-IA,"Gajak dipelupuk mata tak tampak semut diseberang laut dicari mau ditangkap, ironi  omo  n omon",2024-11-09T04:58:16Z,0,0
@sunhajirahmat5191,Bukan di Antartika tp di dpn mata nya dan di kiri kanan nya....,2024-11-09T03:36:25Z,0,0
@rinomalka7255,"Di negeri ini,kalo di tanya agama,PD punya agama,tp ga takut pada TUHAN...",2024-11-08T15:28:40Z,0,0
@nyomanmiasa8173,Itu kan wacana saja  prbowo Budi Erie udah jelas biking judol masih di pertahan kanpk prabowo masih di atur oleh jkw prabowo boneka isatana sama wapres Mah ruf Amin,2024-11-08T11:28:12Z,0,0
@yuliendriati4185,# aksi balas budi🤭,2024-11-08T10:30:41Z,0,0
@BangOne-j8y,Ternyata OMON OMON koruptor Kakapnya malah dijadikan pejabat,2024-11-08T08:52:24Z,0,0
@Yyyyati,"Kalau piling saya orang yang bodoh rakyat biasa,tapi saya suka menyerukan suara.kayanyah.ini teori pribadinyah pa prabowo.caranyahmenangkap tikus.dikasih umpan dulu.biar gampang nangkepnyah.",2024-11-08T08:48:59Z,0,0
@tukinooen1815,"Jangan salahkan presiden2 nya, salahkan sistim perpolitikan kita yg menganut sistim kongkalikong.
Selama partainya banyak jangan harap Indonesia bisa maju malah saling berebut kekuasaan tiap pemilu.

Ini yg Amerika mau, ini yg namanya demokrasi supaya suatu negara ribut melulu satu dengan lainnya, kali ini jadi lawan lain kali jadi teman, makanya gak maju2.

Lihat gimana suatu negara bisa maju kita baru ngerti ooo begitu loh.",2024-11-08T05:41:08Z,0,0
@RoniVanGobel-rn1ii,OMON omon🤪,2024-11-08T05:02:15Z,0,0
@surakhmatsurakhmat5116,"Klw Presiden akan membrantas korupsi dlm kabinet Prabowo,,,,,?  Bagaimana dg kasus pembelian pesawat bekas  Menghamkam era kabinet Jokowi.",2024-11-08T04:26:24Z,0,0
@nurharto9347,BUDI  ARI  NATALOUS  PIGAI  BUDI   GUNAWAN  HARYARTO   MENTERI DESA  JAKSA  AGUNG   BKN  ORANG YG BERSIH   DAN BAIK,2024-11-08T03:24:36Z,0,0
@mawarmerah7856,"PRABOWO CAMAM OMON2 SJ.....!!
☝️☝️☝️💥💥💥🥱🥱🥱
MAU NGEJAR PARA KOROPTOR2 smp KE ANTARTIKA katanya.....☝️☝️☝️ GAK USAH JAUH2....👋👋👋 MENTRI2 NYA YG pada  SEMBUNYI DI BELAKANGNYA PRABOWO tinggal NANGKAP sj GAMPANG....!! .💪💪💥💥👍👍
PRABOWO jgn PURA2 BUTA & TULI TUTUP MATA & TUTUP TELINGA .....!! Buktikan SEGERA TANGKAP....!!
☝️☝️💥💥💪💪 MENTRI2 YG KORPOPSI UANG RAKYAT INDONESIA SEGERA MISKINKAN BAWA KE NUSA KAMBANGAN....!BERES !!
👍👍👍👍❤❤❤❤",2024-11-08T03:14:19Z,1,0
@MuhyiPahrian-t5g,"Periksa si Budi Arie, pak presiden usut tuntas",2024-11-08T02:23:44Z,0,0
@Linshuf,Itu biar bisa dipantau. Kalau gak jadi apa apa apalagi mentri. Gimana mantaunya??? Yg ada jl jl keluar negeri 😂😂😂😂😂😂😂,2024-11-07T22:35:17Z,0,0
@MrRush007,"Maaf, coba jelaskan dulu asal-usul kekayaan secara jujur semua pihak (pakai audit independen asing. Karena kalau lokal, takyuuut!). Nanti hasilnya daftarkan sbg LHKPN.

Berani ndaaak?",2024-11-07T22:30:13Z,0,0
@DaudsyahMunthe,Heran  juga mentri jokowi yang bermasalah ikut jadi mentri di kabinet prabowo,2024-11-07T14:18:21Z,0,0
