Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@TempoVideoChannel,"Jokowi - vs - Megawati
Berapa skornya?",2024-08-03T04:44:24Z,484,377
@pedrosakr4298,Mantap Bocor Alus,2024-08-03T04:45:21Z,70,
@duwetwellysonda7232,"Ini baru topik yg masuk akal konflik PDIP Megawati vs Jokowi score nya 100. Jangan topik yg gak masuk akal seperti Jokowi vs Prabowo, scorenya 0",2024-08-03T04:48:44Z,42,
@abang0108,2 0,2024-08-03T04:48:45Z,30,
@charis7515,"Oktober Jokowi hbis cm noda sejarah. Tpi PDIP akn sllu ada krn sejarah PDIP ad brsama bngsa ini
1-2 utk bu Mega",2024-08-03T04:54:04Z,231,
@heroes6665,"Msh 2 - 0 unggul jokowi, tapi setelah lengser nanti, Mega akan dgn mudah bisa membalikan keadaan",2024-08-03T04:56:23Z,126,
@Dhanaputra-tv,"0 - 0
 nnt dapat proyek ya ngopi² lagi😅",2024-08-03T05:03:45Z,13,
@MohammadAthoillahdzulqarnain,Tetap Bu Mega👍👍👍,2024-08-03T05:07:13Z,137,
@nandobelly5256,​@@charis7515itu kan katalu.... Walaupun jokowi ga berkuasa tp gibran berkuasa bahkan mngkin lebih berkuasanya dari PDI-P.... Dan ingat di sumut ada menantunya jokowi di partai ada kaesang.... Dan jangan lupa walaupun jokowi tidak berkuasa tp kaki tangan nya lebih kuat dari pada megawati,2024-08-03T05:08:10Z,18,
@Orion_Red_Star,Semakin dibakar semakin merah 🔥,2024-08-03T05:11:17Z,53,
@Alan-tn6qq,0 - 5 untuk Megawati,2024-08-03T05:15:38Z,71,
@yankqpusmeonk,INDONESIA SUDAH MERDEKA BELUM SIH? 🥱,2024-08-03T05:16:31Z,21,
@gorbachev834,"Sementara unggul mukidi, setelah Oktober dikejar ganjar gak mungkin tinggal diam😂😂😂",2024-08-03T05:18:38Z,22,
@Botol,​@@nandobelly5256 kenyataan kader / team 02 dibawah dah pada rebutan posisi atur proyek antara team gibran  vs  team prabowo.,2024-08-03T05:20:27Z,28,
@faizalZal-kq6xe,"@@nandobelly5256 kita lihat saja.
Aku sebagai Rakyat biasa cuma mau nonton aja.

Walaupun aku 2x pilih jokowi.
Tapi sekarng tidak suka sama jokowi.
Karena kami yg di luar negeri jadi santapan bea cukai.",2024-08-03T05:23:15Z,64,
@agusrukmi5697,​@@charis7515pdip mak8n nyungsep,2024-08-03T05:25:47Z,6,
@zamnicp3564,"Udah... Perang bubat langsung ajalah
Biar ketahuan siapa pemenangnya 
Daripada cuma perang kata-kata manipulatif di media online & media offline
Biar kebongkar semua aib dari para pejabat dan politikus yang kerap bercitra ria ke masyarakat",2024-08-03T05:27:01Z,15,
@HambalihPitut12,​@@pedrosakr4298Chanel 01&03 yg jagoannya kalah pilpres,2024-08-03T05:27:22Z,0,
@agusrukmi5697,​@@Alan-tn6qqmegawati ??? preketeka ...,2024-08-03T05:27:49Z,6,
@agusrukmi5697,​pdip akan nyungsep,2024-08-03T05:28:47Z,12,
@HambalihPitut12,"Perbedaanya sangat jelas Megawati ikut pemilu lgsg Rakjat kalah sama SBY sdgkan Jokowi menang terus ikut pemilu model apapun,",2024-08-03T05:29:34Z,9,
@SaepudinSaepudin-d8g,😅Buruh umr cuma 5 jt an.. Naiknya cuma 100k -350k/ tahun 🥲 kalo sama tunjangan dll paling 8-15 jt 😅 sedangkan buat idup layak butuh 15 jt..😅,2024-08-03T05:30:28Z,14,
@Alan-tn6qq,@@agusrukmi5697 sebentar lagi boss,2024-08-03T05:35:16Z,3,
@rollingpello2011,Tamak,2024-08-03T05:36:12Z,4,
@nathaliaischa7897,"di antar yg baik pilih lah yg trbaik masih Buk Mega yg trbaik  ,thank you Bocor alus trus lah menyajikan brita"" yg trpercaya .God bless you 🙏",2024-08-03T05:36:19Z,28,
@xinzergyenergy2846,jokowi 5 vs PDIP -10 karna blom menemukan cara mengalahkan super powernya jokowi tapi saat nanti tak ada jabatan jokowi maka jokowi akan jadi abu,2024-08-03T05:38:31Z,26,
@Alan-tn6qq,@@nathaliaischa7897 thank you natalia,2024-08-03T05:40:23Z,7,
@Alan-tn6qq,"@@xinzergyenergy2846 sebentar lagi boss. 
Karma akan datang",2024-08-03T05:41:57Z,17,
@MusTanjib-i5p,​@@heroes6665enggak bisa membalikan badan lah.      Semakin pikun kok.   😅😅,2024-08-03T05:44:24Z,3,
@lucunyabukanmain6743,Siapapun calon bentukan Jokowi dan pendukungnya di pastikan akan menghasilkan pemimpin yang tidak berpihak dengan rakyat,2024-08-03T05:47:35Z,27,
@lucunyabukanmain6743,​@@nandobelly5256lah gak lama juga kesandung kasus korupsi,2024-08-03T05:48:55Z,8,
@lucunyabukanmain6743,Jebol juga,2024-08-03T05:49:37Z,0,
@Alan-tn6qq,@@lucunyabukanmain6743 setuju,2024-08-03T05:51:23Z,0,
@lucunyabukanmain6743,​@@xinzergyenergy2846bisa² persiden pertama yang masuk penjara,2024-08-03T05:52:08Z,8,
@rizkydwifathoni1473,"0-0 nanti juga gandengan lagi kalau kue manis nya kebagian, kalau di tanya pasti jawabannya politik itu dinamis.
hari ini saling pukul besok saling rangkul yang jadi korban ya rakyat.",2024-08-03T05:53:34Z,4,
@kurniadidajan9270,Dalam dunia politik dan partai Jokowi tdk ada apa2nya. Mari bermain stlh oktober tdk membawa kekuasaan. Next geng solo akan jadi kerdil.,2024-08-03T05:57:35Z,14,
@abdulmughni7695,Pdi 2 jokowi 0😂,2024-08-03T05:57:41Z,11,
@DodoBusiness-e7c,5-0 menang jokowi,2024-08-03T06:01:10Z,5,
@ItaJelita-cl5ej,"​@@agusrukmi5697,.mosok tho mas...jare pilpres kemarin nyungsep...masih menang kabarnya",2024-08-03T06:02:02Z,2,
@firmanhidayat8270,4 : 0 😅😅😅😅...PDIP ku menangis 😭😭😭😭😭,2024-08-03T06:08:32Z,3,
@firmanhidayat8270,"​@@charis7515Oktober PDIP 😭 calonnya KO semua, habis dihabisin gang Jokowi... dijadikan budak Prabowo 😮😮😮 pukulan telak dimasa tua mbok Mega",2024-08-03T06:18:03Z,3,
@firmanhidayat8270,​@@Alan-tn6qqmenghayal...bangun ..ojok makan turu AE 😅,2024-08-03T06:18:48Z,0,
@firmanhidayat8270,"​@@yankqpusmeonkmerdeka bagi yg kaya dan berkuasa, bagi babu corporate ya tetep dijajah sebagai budak 😅",2024-08-03T06:19:29Z,3,
@ketombabah5379,@@TempoVideoChannel skor ahir 0-0 sama sama saling simpan dan sandera kebusukan masing masing,2024-08-03T06:19:35Z,1,
@BudiSupriyanto-r9q,Sudah saatnya FIRAUN YG RAKUS KEKUASAAN ini dilawan dan disingkirkan dari bumi Pertiwi.,2024-08-03T06:20:18Z,10,
@sejukanhati7971,"Di daerah kami umir ga lebih dari 3 jutay.sedangkan harga-harga ga beda jauh dgn wilyah lain misal harga  masako,garam,migor,ikan asin dll.(sembako)belum lagi bbm,listrik sama harga dgn wilayah lain pun juga bunga bank emok..             ,​@@SaepudinSaepudin-d8g",2024-08-03T06:20:36Z,1,
@Udet572,​@@lucunyabukanmain6743hukum kita trlalu baik hati bro,2024-08-03T06:22:21Z,0,
@kuwatsumarsono6849,"​@@nandobelly5256
Itu kata loe jugakan..?
Bisa apa gibran dan kaesang bocah ingusan..?",2024-08-03T06:22:49Z,11,
@MadurRaja-qg7gn,GO vs 1,2024-08-03T06:23:00Z,0,
@kuwatsumarsono6849,"​@@agusrukmi5697
Mata loe picek jika pdip tetap partai terbesar.",2024-08-03T06:23:20Z,8,
@RastoMpet,11-12,2024-08-03T06:24:35Z,1,
@Alan-tn6qq,"@@firmanhidayat8270 astafirullah al azim jangan begitu bro. 
Jangan sombong dulu ingat apa yang kamu buat akan berbuah.",2024-08-03T06:24:36Z,0,
@yunitarsini1041,​@@heroes6665 Aamiiin udah gregetan liat jokowi .......,2024-08-03T06:24:49Z,6,
@MrACTAVIS,"2 0 jokowi. Tapi kayanya kartu truf pdip belum dikeluarin, nggu wiwi lengser 😂",2024-08-03T06:26:56Z,6,
@firmanhidayat8270,"@@kuwatsumarsono6849 kehancurannya sudah dimulai... terbesar tapi suara turun, presiden kalah, bentar lagi pilkada kalah banyak, ujungnya tahun 2029 PDIP akan kalah dgn Gerinda Krn Prabowo incumben presiden.. (waktu akan mewujudkan) dan itu akan terjadi",2024-08-03T06:27:26Z,1,
