Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@sugiyah1847,Sangat neg penjelassn kejagung kelihatan bohongnya,2024-11-14T21:38:45Z,0,0
@jokosupriyono601,nangkap koruptor knpa dpr ikut campur,2024-11-14T21:36:39Z,0,0
@jejaklangkah3710,Cengengesan spt tukang bohong,2024-11-14T20:56:56Z,0,0
@otaksehat,Jampidsusnya mana ? Kok ngga dijelasin?,2024-11-14T20:32:59Z,0,0
@mutakinfamily8786,Hiduplah sesuka hatimu tapi ingatlah ada hisab setelah kematianmu,2024-11-14T20:15:07Z,0,0
@ujikcyberlumajang6990,Kasus vina,2024-11-14T20:12:03Z,0,0
@armansaja4262,Minyak goreng jangan lupa di usut pak jaksa agung..Jangan cuma gula doang..trus kasus covid juga..ayo suarakan keadilan di negeri ini..,2024-11-14T20:07:57Z,0,0
@ToktokToktok789,"Dari gestur tubuh dan mimiknya saat berbicara, Om Jagung sungguh telah berdusta soal kasus Tom Lembong.. Jagung pandai bersandiwara.. 👎👎",2024-11-14T20:04:12Z,0,0
@sinwansinwan7745,Kesannya.... para hamba hukum sangat ber belit belit.  Rakyat kesaaaallll.,2024-11-14T19:58:39Z,0,0
@sulendrisaputra5258,"Pecat Jaksa Agung dan bawahannya. Bebaskan Bpk Thomas Trikasih Lembong., beliau tidak bersalah., yang korupsi triliunan masih aman melenggang dengan biadabnya. Jkka tdk dibebaskan. Aku jamin Indonesia semakin rusak akibat Jaksa yang paling Agung sudah merusak hukum yang ada di negeri tercinta ini.",2024-11-14T18:47:05Z,0,0
@AcenkkAcenkk,Seharus nya di siksa para koruptor itu akar buka mulut pak seperti para polisi menyiksa masyarakat apabila sudah di tangan para polisi selama ini.seharus nya polisi cara kerja nya sama seperti mereka memperlakukan menyiksa masyarakat biasa yg selama ini mereka lakukan. Jangan hanya masyarakat biasa babak belur di tangan polisi tetapi para penjahat besar seperti koruptor mereka aman di tangan polisi setelah di dalam sel,2024-11-14T18:38:40Z,0,0
@AcenkkAcenkk,"Kasus Eki dan Vina sudah sangat jelas penjahat nya para polisi dan orang"" bayaran polisi dari kejaksaan dan para pengacara nya kenapa selama ini kalian diam. Ini tentang keselamatan banyak nya masyarakat sedangkan penjahat nya tetap aman yg sudah sangat"" jelas. banyak masyarakat yg sudah membela masyarakat yg tidak bersalah atas kejahatan polisi tetapi para polisi dan para orang"" bayaran nya tetap aman selama ini",2024-11-14T18:32:19Z,0,0
@burhannoho278,"Semua yg impor di proses Hukum
Bukan hanya TOM LEMBONG
JAKSA AGUNG DEMI KEADILAN",2024-11-14T18:15:59Z,0,0
@taufikhidayah9915,Selidiki utamanya DPR dan DPR D dari PDI P mereka banyak sekali dugaan korupsinya.. sejingga dibdepan media mereka sok berssih padajal mereka mau menutupi kejahannya,2024-11-14T17:38:48Z,0,0
@taufikhidayah9915,Saran untuk kejaksaan tolong DPR dan DPRD harus dan wajib di selidiki juga biar mereka tisak asal koar2 krn sayakin mereka banyak yg makan uang Rakyat...,2024-11-14T17:36:45Z,0,0
@budiharisaksono1784,"Mantaaaap tenaaan libas habis korupsi,biar sejahtera rakyatnya",2024-11-14T17:26:40Z,0,0
@husnihusni2868,"Jaksa Agung Itu Bohong, ini Pasti Ada Order dr Penguasa yg Dzolim yg dulu.",2024-11-14T17:17:09Z,0,0
@RidwanaAAhmar,Pada Kalem semua di depan Pak Jaksa Agung😁,2024-11-14T16:56:29Z,0,0
@Zainani-d5b,"Kenapa sampai sekarang belum terbukti Tom Lembong korupsi sudah ditangkap. 
Kenapa menteri perdagangan lain yg melakukan hal yg sama tidak diperiksa juga. 
Kenapa harus menunggu 9 tahun baru ditangkap.
Kalau menteri membuat kebijakan biasanya seizin presiden karena bawahan tidak bisa berbuat sesuatu tanpa izin atasan.
Itu yg jadi pertanyaan di masyarakat. 10:37",2024-11-14T16:50:58Z,0,0
@ujangsahrudin4489,"Ko kami masrakat yg awam hukum.... merasa  masih belum   bisa  memahami  jawaban dari kajagung ya...? Dgn ekspresi kajagung yg seolah kami harus percaya tanpa penjelasan yg bisa dipahami.... pertanyan berat dijawab  mudah dgn ekspresi tdk meyakinkan.... dgn alasan tehnis...     mana percaya bahwa kasus ini bukan  kriminalisasi,dan kental nuasa politisnya... kecuali periksa seluruh  mentri setelah era tom lembong..yg bahkan hari ini kembali jadi mentri....   bgn mungkin membrantas korupsi kalau para mentrinya diduga terlibat korupsi....  😂😂😂😂😂",2024-11-14T16:48:41Z,0,0
@maslanggeng7593,"Saya yakin pak jaksa mentersangkakan orang tidak sembarangan,pasti cukup bukti,tolong yg mulia wakil rakyat mesti ngerti krn masih proses penyedikan.",2024-11-14T16:16:56Z,0,0
@asepSaefullah-cd7hm,Anak buah Mulyono,2024-11-14T16:15:09Z,0,0
@pangeranfajar4477,Sedikit pun gua ga percaya netralitas jaksa.,2024-11-14T16:06:36Z,0,0
@saayayamabuki-pg5sr,Nyotek gibran kalau ditanya dilimpahkan ke jamfidsos kalau gibran ditanyA minta dijawab oleh wamen.,2024-11-14T16:06:12Z,0,0
@HACKING_d5p,Seketika aku bercitacita ingin jadi Sniper jitu.. Dor😂,2024-11-14T16:05:09Z,0,0
@saayayamabuki-pg5sr,Jaksanya keliatan bohongnya terlihat ngomongnya gagap,2024-11-14T16:00:57Z,0,0
@KreasiSutendi,Kami netral berdasarkan pesanan paduka...😅,2024-11-14T16:00:20Z,0,0
@sinopyirene2022,TIDAK PERCAYA,2024-11-14T15:56:01Z,0,0
@adisfamily8181,"Jampidsus semua, berarti gak tahu  soal kasusnya dong...yang dikasih panggung juga ketuanya... Kok malah nyuruh orang buat jelaskan",2024-11-14T15:54:29Z,0,0
@AndriJlow-rh3jg,DPR sama korup nya DPR tidak ada gunanya tidak mewakili rakayat kalo DPR mewakili rakyat UU perampasan aset mungkin dari dulu di sah kan,2024-11-14T15:48:07Z,0,0
@ybudiwibawa4652,NDOBOS,2024-11-14T15:42:50Z,0,0
@bambangsugeng5584,Wajah Pak Jaksa kelihatan sekali kalo mempunya beban berat utk mengatakan jujur. Tunggu pak jaksa kelak di pengadilan Allah..,2024-11-14T15:38:10Z,0,0
@DelaPuspitasari-u7w,Gw bilang dpr gak ada guna ny jg rapat2 ky bgni . Krna DPR ny gak setujuh Maslah ruu perampasan aset negara . Mendingan bubarin aj dpr . Gak ada guna ny jg ada dpr,2024-11-14T15:35:17Z,0,0
@matsalamraihan2587,Indonesia banyak DRAMANYA,2024-11-14T15:26:20Z,0,0
@novriheru7075,"Emang ada yang bisa melawan jaksa agung 😅😅😅😅,",2024-11-14T15:17:42Z,0,0
@lioefung5973,.....korupsi  timah  300  T   bts  8  T  pertanian  ...dll ..10  th   jkw  jabat  .knp  dia  tdk  bisa  tau  ja  ?? .....dan  banjak  mentri  2  lbh  bsr  korupsi  nja  ??   ....dan  hrs  di  selidiki,2024-11-14T15:13:26Z,0,0
@peacemaker178,semangat jaksa agung,2024-11-14T15:05:55Z,1,0
@samsungsaw6586,Kebiasaan DPR mengajak rapat terturup. Kenapa hal itu mesti terjadi?,2024-11-14T15:05:14Z,0,0
@andriyana9522,"Terus mentri2 yang sebelum nya juga impor gula, knapa ga di jadikan tersangka juga... Kan sama ""import gula saat surflus"" 🤣🤣🤣... Apa pesanan nya hanya buat satu orang aja🤣🤣🤣🤣",2024-11-14T15:03:55Z,0,0
@komarrudin3652,"Kalau saya sedikitpun tdk percaya dgn sidang2 di DPR ini semuanya sandiwara, lihat saja kasus menag yaqut, sdh jelas melanggar udh di bentuk hak angket lagi..apaa hasilnya noooll besaaar..susah kalau negeri dagelan mah, munafiq semua",2024-11-14T15:01:34Z,0,0
@hadiprayitno4011,Rakyat sudah tidak percaya dgn penegakkan hukum. Jaksa Agung Jangan menciderai kepemimpinan Pak Prabowo di awal jabatannya,2024-11-14T14:56:48Z,0,0
@RamdhanRamadhan-u3i,Knpa negara ini jadi gini allahuakbar,2024-11-14T14:56:36Z,0,0
@Dulgofur-o6f,"Harga mati, harga sepakat ya jalan",2024-11-14T14:56:17Z,0,0
