Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@eddyedwin9546,"Kita orang kecil target kabinet menurut kami tidak muluk.muluk ya harga daging dari 120 ribu jadi 60 ribu, ayam dari 35 ribu jadi 20 ribu, telor dari 26 ribu jadi 15 ribu, minyak goreng dari 20 ribu jadi 12 ribu dan beras dari 14 ribu jadi 10 ribu",2024-11-09T13:16:01Z,0,0
@dapotmarbun1991,Bagaimana kita berharap pada kabinet ini ?,2024-11-08T03:35:04Z,0,0
@Cahaya1818-tv1sn,🎉🎉🎉🎉🎉,2024-11-08T02:24:20Z,0,0
@Atmojo1963,"tidak mudah negeri ini melupakan oligarki. dan tidak semudah apa yg ingin sebagian rakyat mengharapkannya, sungguh sulit negeri ini utk membuat lebih berwibawa.",2024-11-07T23:56:50Z,0,0
@video_receh,Untuk apa lu tanya? Nguras duit negara lah apa lagi selain itu?,2024-11-07T05:02:37Z,0,0
@UripNugroho-wo2eo,Pesimis dengan pemerintahan kakek prabowo kedepan ekonomi akan hancur ditelan koruptor2 kebinet 😢,2024-11-05T05:36:47Z,1,0
@Mari_Selalu_Berbuat_Kebaikan,"🌈🌈🌈🌈🌈🌈🌈🌈🌈
Mari selalu berbuat banyak kebaikan dan menyebarkannya, saat masih ada kesempatan ❤️

Nam myoho renge kyo",2024-11-05T00:59:55Z,0,0
@dapurkripikjadungxanidafat3506,"Whehe seperti yang lalu lalu, kita harus siap kecewa 😅",2024-11-04T10:58:01Z,0,0
@AndreKurnia-vb2tl,"Selain ada acara apel kemiliteran di Magelang, sekedar saran, diadakan juga acara joget gratis di jajaran kabinet nya. Meskipun bermasalah, setidaknya bisa terhibur dan menyehatkan perut buncit 😀",2024-11-04T10:42:25Z,0,0
@LatifahSaubari,Miris sekali negeri ini .... karena yg ada dalam kabinet prabowo adalah orang2 yg tersandera politik jokowi,2024-11-04T00:34:50Z,0,0
@sebranglaut89,tempo ikut berjuang demi demokrasi dan penegak konstitusi  negeri ini yg telah hancur karena penguasa jahat moeljono dan antek2x nya,2024-11-03T22:50:34Z,0,0
@gantangdev3529,"Tempo itu bisa apa? Omon omon doang, mentang2 saham nya tempo milik asing,",2024-11-03T16:37:58Z,0,0
@decysusanti7316,"Kita gak pernah banyak ngarep dari kabinet yg sdh dibentuk dgn org yg itu2  , paling nontonin saja sambil makan gorengan ,😂😂😂",2024-11-03T06:25:54Z,0,0
@ariefvisca9994,Stidaknya berharap gak se bar2 sebelumnya,2024-11-03T05:04:51Z,0,0
@Yeyen-p6f,bangsa ini hancur total di tangan Prabowo tidak ada yang bisa diharapkan dari pak Prabowo hampir 50% lebih isi kabinet nya orang yang bermasalah Prabowo 11 12 dengan Jokowi,2024-11-03T03:42:08Z,0,0
@bubblegum5947,Opini pengkhianat negara,2024-11-02T23:38:21Z,0,0
@SaifulSaiful-n6t,Tempo media peeedeee iiii pehhhh lur,2024-11-02T22:57:26Z,0,0
