Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@benfikri7569,tong kosong ini mah,2024-11-07T14:55:20Z,0,0
@Arthur_Morgan22174,2:21 kau pikir rakyat bego kek elu marsel,2024-11-06T03:20:13Z,0,0
@SigitHariyanto-w7d,"""untuk rakyat"" 😂😂😂",2024-11-04T13:43:36Z,0,0
@yuliyanti3232,Ketawa mulu lu marsel 🙄,2024-10-30T03:03:21Z,0,0
@mcd4lunch,Miskin kan lu skrg sel? Udah bener jadi komika sok2an politik. Gua yakin kalo berdebat lu pasti koshong😂,2024-10-28T06:55:13Z,0,0
@alvenokpalinsyah8254,"PIP (Program Indonesia Pintar) 450.000 per tahun untuk siswa SD, 750.000 untuk siswa SMP, 1.000.000 untuk siswa SMA/SMK",2024-10-27T15:33:14Z,0,0
@Tarwan-n8c,Kribo asu,2024-10-27T00:32:47Z,0,0
@mrjogja9979,Mendengarkan acara ini saya jadi berfikir lebih susah cari kerja dari pada ikut pencalonan melalui partai😂😂😂,2024-10-21T15:23:27Z,0,1
@Sonandergron,🍉🇮🇩 Semua terasa mudah bila pny koneksi yg kuat...,2024-10-26T14:41:14Z,0,
@mrjogja9979,Semakin menjelaskan semakin blunder. Sempat dicalonkan saja menjadi pertanyaan khalayak ramai tentang bagaimana cara partai menyeleksi bakal calon yang akan diusungnya. Kualitas memang tidak pernah berbohong😂😂,2024-10-21T15:21:06Z,0,0
@rohmadititan1332,"Maaf Deddy 
Yg namanya bantuan apa pun itu di berikan berdasarkan KK itu jg biasanya yg ortu nya pekerjaan nya buruh",2024-10-21T06:41:09Z,0,0
@dekkarforex,Ketawanya dibuat-buat,2024-10-21T04:43:40Z,0,0
@blessinggame9652,Penjilat yg gagal,2024-10-20T07:11:31Z,0,0
@BlokirFilm,"Kelihatan manis mulut marcel, suka ngarang cerita. maaf pendapat saya",2024-10-19T12:56:36Z,0,0
@listonliston5562,"Semangat sel, terus belajar menjadi baik",2024-10-18T20:38:56Z,0,0
@antoktri5991,Semoga ada ahli pawang hujan bisa nyembuhin,2024-10-18T18:44:51Z,0,0
@ardiansyah8145,"LEBIHKE KLARIFIKASI SAMA MINTA MAAF BIAR DAPET JOB LAGI.
SEKALIAN DI MALUIN TAPI GA MALU WKWK",2024-10-18T15:31:04Z,0,0
@GrowthMindset0-100_,"Negara kita, Indonesia Nusantara ini merupakan bangsa yang besar dan luas sekali wilayahnya. Banyak sekali dan kuatnya suku, agama, ras, dan budaya. Yang artinya kita memiliki tantangan paling besar diantara negara lainnya, yaitu adalah mudahnya terpecah belah, mudah dibohongi, sumber daya manusia kita korup (rusak), sehingga sangat kaya akan sumber daya alam pun kita sulit untuk dikelola bahkan dikorup oleh bangsa kita sendiri maupun oleh bangsa lain, bangsa yang mudah dieksploitasi SDM dan SDA-nya, rata-rata kecerdasan intelektual kita 78,49, bahkan hati dan jiwa yang cenderung lemah, sehingga mudah terhasut bahkan menghasut sesama, di adu domba, dijajah dari jaman dulu sampai saat ini, kita dari dulu sampai sekarang merupakan bangsa yang dalam keadaan terpuruk. Mari kita bangkit dan menjadi bangsa dan negara yang maju, makmur, dan sejahtera.",2024-10-17T10:27:53Z,1,0
@yudasukanta8662,Orang bodoh gampang dibodohi 😅😅,2024-10-15T11:04:30Z,0,0
@masberto100045,Setelah dia ga jdi DPR eh artis² lain pada calon dan jdi ada apakah ini😊,2024-10-15T10:16:26Z,0,0
@wolai5546,"gmn kalo misalnya dia jdi,nepatin janji aja syulit,sekelas temen"" artis aja yg uda janjian bisa bisanya ga nepatin",2024-10-15T03:09:54Z,0,0
@WhyNot-xq1tp,"Ketika sebuah kepolosan(bukan bego) berhadapan dgn kepintaran(yg mencari celah)

Kepolosan itu skrg gak akan disomasi, but karir politiknya pasti K.O krena punya riwayat ini. 👍",2024-10-14T18:36:38Z,0,0
@bahagiaselalu-k1j,apasi ni orang,2024-10-14T11:41:48Z,0,0
@Ray-w4y2o,"Bullshit, makin ancur negeri ini",2024-10-14T06:47:16Z,0,0
@ebykun,"dulu respect sama ini orang,skrng muak lihat nya,terlalu kelihatan sekali menjilatnya",2024-10-14T04:04:10Z,0,0
@luqmanhakim5314,Terlalu PD sih dia 🤣,2024-10-13T17:41:57Z,0,0
