Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@NarasiNewsroom,Subscribe Newsletter Newsroom untuk update informasi terkini dari Narasi juga ya. Klik link http://bit.ly/newsletter--newsroom,2021-06-08T12:03:33Z,25,7
@wiwitutami990,"nyimak...
ga penting rakyat..
yg lebih penting oposisi yg PUNYA DUIT
👍🏻",2021-06-08T12:13:20Z,0,
@newrevolusioner3036,"Tapi bagaimana pun juga, pada zaman ini pemerintah sangat bekerja keras, buktinya saja putusan sidang dilakukan di tengah malam saking kerja kerasnya

Bismillah Presiden Bank Indonesia",2021-06-09T01:57:29Z,3,
@passionfood2012,Habis ini dibuatlah uu tentang penyindiran.,2021-06-09T02:51:57Z,0,
@hypocrite5494,Wkwkkwk,2021-06-09T05:27:09Z,0,
@farisman8675,"Udah di subs ka, bismillah komisaris narasi",2021-06-13T06:37:04Z,0,
@Babyjanuarr,"Untung saya ga punya agama jadi ga pake bismilah, 😂",2021-06-16T07:08:43Z,1,
@hypocrite5494,@@Babyjanuarr AGAMA GAPERLU BUNG YG DIBUTUHKAN TOLERANSI DAN ITU HANYA ADA DIKEMANUSIAAN BUKAN KEAGAMAAN HAUS DARAH,2021-06-16T07:58:29Z,0,
@feryfernando1162,"Pakde PR y di selesaikan, besok di kumpulkan jgn nunda nunda , nanti jadinya bengkak semua 

Komisaris PT pertamina amin 😇🙏",2022-08-27T05:55:05Z,0,0
@aldogg5608,"""Bismillah Komisaris merupakan sindiran/bentuk ekspresi yang cerdas dari masyarakat.Selain punya pesan yang kuat""Bismillah Komisaris""dapat dibilang sindiran sarkas yang AMAN dari UU ITE""",2022-01-08T05:44:00Z,0,0
@hafidhzain0792,Tekotok kotok kotok kotok kotok kotok kotok kotok kotok,2021-12-21T10:15:58Z,0,0
@dezulfikaralwanni944,Tekotok :v,2021-12-10T09:44:11Z,0,0
@phantom5199,"Ya memang ""satire"" lah cara yg aman buat kritik pemerintah era sekarang..",2021-12-10T08:32:37Z,0,0
@jokowijoestar6547,"Bacot kalian semua,kalian juga gk ngerasa susahnya jadi pejabat tiap hari kerja, ngumpulin berkas, terkadang pulang sampe malem gaji kami juga gk terlalu tinggi amat
Jadi jangan melihat dari satu sudut pandang
Bismillah komisaris wakil presiden 🤲",2021-12-10T03:57:33Z,0,0
@LogicalType,Bismillah komisaris OOOOHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,2021-12-09T02:02:40Z,0,0
@ans1570,Mampir setelah liat animasi tekotok😂,2021-12-08T16:00:56Z,2,0
@jigongking499,Terimakasih pak berkat anda koruptor banyak yang hukum mati termasuk koruptor bansos. Bismillah komisaris,2021-12-08T15:29:24Z,0,0
@satrioditoprastomo2272,"Pak jokowi presiden terbaik di antara keenam presiden sebelumnya.. 

#Bismillah Komisaris PT.Pupuk Sriwijaya",2021-10-27T02:52:05Z,0,0
@yunusadi7031,"Terus semangat ketua kpi

Bismillah komisaris",2021-09-08T04:03:37Z,0,0
@rereren01,Cring* jadi komisaris,2021-08-27T15:45:12Z,0,0
@OnesinusSPT,"Undang undang ITE itu bagus kok untuk menjaga dunia Maya

Mudah mudahan jadi petinggi Kominfo 🙏",2021-07-21T14:52:45Z,0,0
@fuadnasir2944,Yang tweet pertama itu sarkas ke Jokowi? Yang korupsi perasaan bukan Jokowi deh tapi menteri dan bawahabnya.,2021-07-16T22:20:59Z,0,0
@indonesiawomens2721,bismillah https://youtu.be/nsg5hk9Prio,2021-07-11T21:06:36Z,1,0
@growolmerah.,Saya mau jadi Komisaris bagaimana caranya?,2021-07-10T23:50:33Z,0,0
@warungkopisugiono2537,"Covid salah rakyat

Prof doctor, dr, dra, drs hj, megawati soekarnoputri mm, msi, mma, one chp,ii, cc, crt. Tetap profesor doktor dokter paling cerdas di muka bumi.... Pasti iqnya 2000cc......

Lord lowhood sang lord pengendali api bumi, air , udara dan covid...... 

Angkatlah aku sebagai Komisaris.... 
Bismillah Komisaris freeport... 🙏🙏🙏🙏",2021-07-10T15:50:08Z,0,0
@intiahsusilo7626,"Hahahehe ngakak deh liat koment2 dibawah... Cerdas2 Banget dan kreatif....

Bismillah...",2021-07-07T02:15:13Z,0,0
@ridom8686,kalo “Tukang bakso lewat” Cara Netizen untuk ....,2021-07-06T13:18:58Z,0,0
@username123x,"Pak Jokowi itu hebat ,luar biasa 
Harus dan wajib 4 periode.

🙏 BISMILLAH KOMISARIS 🙏",2021-07-05T08:49:53Z,0,0
@daffaandrian4483,"I Love COKRO TV

Bismillah, sek sek bingung mau jadi komisaris apa 😅",2021-07-05T04:52:13Z,0,0
@djisamsoee234,"Pak erick emang org yg sangat jenius..

Bismillah komisaris PT dua gunung kembar di belah tengah...",2021-07-05T02:23:42Z,0,0
@muhammadnurulhuda4137,"Mau nyari mobil esemka yang second, lecet sedikit nggk papa. Barangkali ada yg punya disini.",2021-07-05T01:00:23Z,0,0
@jualikanmaspontianak3713,"pak jokowi 1000 priode 

bismillah kepala kemenag",2021-07-04T16:36:47Z,0,0
@Xproud90,"Jokowi itu org g pernah salah 
Bismillah dirut Indosat 😂😂",2021-07-04T15:18:05Z,1,0
@cIownie,haha.. yg heran argumen nya katanya mereka angkat abdee jadi komisaris agar bisa berkembang jadi content provider. sangat lucu mnrt saya. karena provider internet besutan telkom ini sangat sangat parah. gak percaya? cek indihomecare di twitter.  kalo mau jadi content provider ya internetnya musti nyala mnrt saya... bener ga sih?..,2021-07-04T14:24:43Z,0,0
@maungoleng8789,"hanya jokowi yang bisa mengubah korea utara dari komunis jadi pancasila harga modar. 
 bismillah kapolda",2021-07-03T11:55:00Z,0,0
@whatnextchannel9435,"Pemerintah kerja nya bagus, selalu mementikan rakyat

Bismillah gantiin jokowi",2021-07-03T10:09:25Z,0,0
@animesuply5159,"Narasi Newsroom CatDrone, ReadyCall , Tale a band, gak lihat apa pencapaian pemerintah sekarang. Bersyukur lo king jokowi presiden terbaik. 

Bismillah, koordinator Buzzer 🤡",2021-07-03T06:39:55Z,0,0
@kangsoto5581,"Siapa bilaang mantu & anak jokowi memanfaatkan posisi bapak nya sebagai presiden untuk jadi pejabat negara... 

Bismillah menteri dalam negeri. 🤲",2021-07-02T18:25:01Z,0,0
@muchtarbakhtiar8949,"Udah ga respect sama abdee, padahal dia gitaris favorit ku malah Terima jabatan komisaris telkom",2021-07-02T12:57:14Z,0,1
