id,username,text,created_at
18033394301337511,merry_triaanthony,Tidak takutkah dengan hari pembalasan Pa Mulyono ? Ingat kita semua pasti akan kembali,2024-10-13 11:23:30
18328865938199197,kasnarian.adinata,"Ya ampunnn,, segitunyaa mulyono pengen diakhir masa masa hidupny eh pemerintahannya, dikenang dengan yg baik baikkkk😢",2024-10-13 11:08:12
18009038453423454,akuairen17,MENYALAAA TEMPO 🔥🔥🔥,2024-10-13 11:05:24
18275281816246045,triosatriaputra,Si paling kebalikan pokoknya wkwkw,2024-10-13 12:17:33
18423872149077335,fathanf477,"Udah mau pensiun z g kerasa udah 10th....BUY BACK INDOSAT Juga blm,ESEMKA jg ga nongol² yg ktnya sudah byk yg persen...🤭🤭",2024-10-14 23:04:40
17895929981996662,arbusaa,"Tempo, anda ini harus dapat hadiah karena satu-satunya yang paling berani. Anda siapa berani melawan negara dan seluruh alat negara? Ah saya tahu, anda adalah rakyat, tuan sesungguhnya bangsa ini.. 👏 maju terus, tempo!",2024-10-14 17:29:48
18096951814424286,antyo2000,"Tukang kayu sedang proses finishing, semprot cat dan dempul yang tebel biar kayu yang jelek dan lapuk nggak kelihatan",2024-10-16 05:47:04
17905031607024415,hidayatirizqi,Pak saya cape dan saya kecewa dengan kepemimpinan anda. Terimakasih🔥,2024-10-14 13:06:34
18045434303068117,astilovita,"Rakyat bisa dikelabui, tapi tidak dengan malaikat. Bersiaplah kami tuntut kalian di akhirat kelak jika di dunia kalian lolos. 😢",2024-10-13 11:14:58
17850841776304636,hessymw,Alhamdulillaah nggak pernah percaya pencitraannya sejak dulu naik jadi Gub dki...,2024-10-13 11:07:11
18141399379350689,13agus_are,Rampas harta Mulyono dan kroni nya😂,2024-10-13 11:12:35
18087989617444193,farhanalfaridzii,Jokowow harus diadili,2024-10-13 11:05:19
17935343573798619,hogantarazora,Kirain gen z doang yang butuh validasi hehe,2024-10-13 11:06:16
18046039862057521,tiasmz,Alhamdulillah ga pernah terhasut dr 2014,2024-10-13 13:40:57
18020324549567735,bukan_almasih,"Kalau utang itu milik negara, kalau keberhasilan milik @jokowi 🔥🔥🔥",2024-10-13 12:29:19
18088940227496281,hertana_p,Memoles diri sendiri. 🤣,2024-10-13 11:12:55
18043241699030088,ekonrchynsp8,I love Tempo ❤️🔥,2024-10-13 11:19:23
18118988236398242,nicky_sinten87,Bisa bisanya tempo malah ngebocorin ini semua wkwkw good job🔥 @tempodotco,2024-10-13 12:08:32
18067185493648255,kabuddin19,@indozone.id termasuk buzzeenya nih 😂,2024-10-14 11:59:42
18094211458486027,djoeang_cloth,"Insfratruktur dianggap prestasi seorang Jokowi, sedangkan UTANG utk membangun insfratrukturnya itu keputusan ""bersama""",2024-10-13 11:27:39
18019352252291643,arif_innovat,"udah mau pensiun masih belum puas menghambur uang rakyat utk suatu hal yg ga berguna !!!
anakpun dikorbankan agar dia selamat saat pensiun. padahal jauh dari capable !
🤮",2024-10-13 11:09:35
18056043616870509,qbods,Sorry yee.. gw dari dulu ga sedikitpun percaya sama sekali dgn pemberitaan pencitraan Jokowi 😂,2024-10-13 12:42:19
18065569354650256,junanda_wahid,Keberhasilan Yang Dikampanyekan Menunjukkan Ketidaktercapaiannya Keberhasilan Itu Sendiri -JW-,2024-10-15 01:55:25
18016017527620102,masitaambarwati,"Baru kali ini mau pensiun pake acara kampanye,..bener² presiden terbalik 🤭",2024-10-13 11:08:53
18001810721666372,misscahyani,Beuh narasi Tempo diawal udah menggiring opini aja.. 😂,2024-10-14 00:07:33
18028531598117430,habibsyadzily,"Politik dinasti adalah bentuk paling vulgar dari kemalasan politik. Ketika anak penguasa hanya berpegang pada nama besar keluarganya, dia membuktikan bahwa ia tak memiliki kualitas apapun selain darah yang diwarisinya. Bangsa ini tak butuh pewaris takhta, tapi pemimpin yang benar-benar layak dan berjuang.",2024-10-13 11:11:35
18050184574760610,nocturnalismm,awas dikatain anak abah 😂 kalau nyinyir,2024-10-13 13:35:59
17910864000009318,gracetobtng,Presiden Terbaik 🔥,2024-10-13 12:24:07
18285872407227490,fitriyah_asp,"Barisan sakit hati ya???iya saya sakit hati,,korupsi semakin terang2an di negeri ini,,saya sakit hati kualitas pendidikan semakin memburuk di negeri ini,,😢",2024-10-13 11:06:40
17844357807335251,maeshalma,Wah ini anak Abah ya..... Ya iya ....emang mau jadi anak Mulyono?,2024-10-13 12:46:52
18004721675654288,aleaxl_,ADILI JOKOWI,2024-10-13 11:22:06
17846029887323811,deairfanda,Oalah mul mul,2024-10-13 11:50:58
18466123984013264,galuhollic,"Gak rela, sumpah",2024-10-13 13:34:36
18094440436474858,fahriorchid,"Alhamdulillah sejak gempar trend kemeja kotak2 pas dia jadi walikota solo, sy minoritas yg tidak tergiur dengan janji palsunya, waktu itu sudah merasa ada yg janggal, orang sperti dia kok bisa jd walikota eh malah jadi presiden 😢",2024-10-13 17:02:35
17866195824167918,setiyawan.gani,Pencitraan yang tiada manfaat,2024-10-14 22:53:13
18074739088566094,naziracnoer,Tiap hari makin naksir dan cinlok sama TEMPO. 🫵🏻,2024-10-13 16:53:41
18245732014274742,biswaraadicanevanata,"Seolah beliau tidak akan menanggung dosa yang diperbuat pada rakyat,. Membayangkan dosa sendiri saja g kuat, ini menanggung 280 jt rakyat, nauzubillah 😢",2024-10-13 11:07:07
17847263835321055,dr.muslimkasim,"Pencitraan mulu, udah ngalah2in satelit ya?",2024-10-13 13:29:47
18012771761373239,sumarnocholil,"Apakah semua informasi tentang keberhasilan pemerintah dianggap propaganda? Setiap pemerintahan, termasuk sebelum Jokowi, pasti mengkomunikasikan hasil pekerjaannya kepada masyarakat sebagai bentuk akuntabilitas. Sebaliknya, yang penting bagi kita adalah bagaimana menyaring informasi dengan kritis, bukan langsung menganggap semuanya sebagai hasil manipulasi.
Kalau semua yang disampaikan adalah propaganda, lalu bagaimana dengan pencapaian yang diakui oleh lembaga-lembaga independen, baik nasional maupun internasional? Tentu saja tidak semuanya disetting atau dibuat-buat.
Dan terkait penggunaan dana untuk kampanye, apakah pemerintah manapun mampu menggunakan anggaran negara untuk melaporkan hasil kerja kepada publik? Yang lebih penting adalah mengawasi penggunaan dana tersebut dengan transparan, bukan menolak semua pencapaian hanya karena ada anggapan nepotisme atau konflik kepentingan.",2024-10-13 11:11:55
18044988364859974,tubrof,Kasian haus validasi 🥴🤢,2024-10-14 20:13:50
18067532914627400,lisboafransisco,"Sebelum naik jd gubernur jakarta juga udah ragu, apalagi ada momen ketika di wawancara ditanya soal obligasi, malah celingak celinguk. Masih ingat sampai sekrang saya 😂.",2024-10-13 11:19:18
18019115009292275,asepsyaeful_,@medhioen.ae oh wingi ki termasuk program iki yo ?,2024-10-13 12:24:38
17940954053870850,teguhsano,"Kemarin pas lihat video di salah satu you tube kementrian jadi mikir ini mungkin menterinya yang caper, biar tetap diingat sebelum pensiun. Oooh ternyata yang di atas lagi yang minta dikenang.",2024-10-13 11:15:14
17883029208133215,sayyidahlabibah,Harusnya tu duit diakhir jabatan buat bangun sekolah kek atau apa kek yg bikin rakyat seneng dan sejahtera. Bukan malah buat byr buzzer dan influenser untuk pencitraan. Apa ga capek pencitraan mulu? Perilaku baik mah harusnya dirasakan bukan malah digaungkan.,2024-10-13 12:14:11
18046439980838890,cjressa_,Mulyono oh Mulyono. Dosa apa lah bagi negara ini sampai harus punya pemimpin kayak anda. Syukur gak pernah vote ini orang dari dulu!,2024-10-13 12:54:08
18463223905046383,cle.xvii,"Bener... pas waktu closing PON aja video meng-elu²kan pemerintahan mulyono di tayangin. Trus terkesan memaksa, ga natural, ga pas la pokoknya. Aneh bener",2024-10-14 13:26:17
18048701221814392,effendi9806,"Alhamdulillah belum pernah penerima, kalaupun menerima, pasti lsg sy delete",2024-10-13 11:43:37
18365562868118287,irvinalioni,"Mau dong jadi bajer Pakde, biar bisa beli rumah di Kemang juga kayak…. kayak siapa tuh, eaaaa eaaaaa 😂",2024-10-13 12:06:59
17871881385198320,nainggolan.parbosar,Gini ya tempo setelah proposal tak diterima kominfo wkwkekeklekeke😂,2024-10-15 04:15:20
17904255341960583,khoiruddin_harahap_,Adili Jokowi saat lengser 20 Oktober nanti,2024-10-13 15:32:48
18372381115106964,anisyahsdini,hahahaha🔥🔥🔥,2024-10-15 06:54:13
18080127250549704,aulia.pch,“presiden terbaik sepanjang masa” atau “jangan pensiun dulu bapak 🥹”,2024-10-13 11:07:11
17988926609710139,kiki_rhdn,Semakin nyata 🔥🔥 @rn.nwtz @ari_eko_primanto @tama.kuri91,2024-10-13 11:13:14
18064107370658534,diankrisandi,"Kenapa backsoundnya Rayuan perempuan gila, ya? @tempodotco",2024-10-13 12:36:36
18142218346347104,analiarukman,"Terbaik mnrt kelompoknya.. terbaik pula,utangnya🔥🔥",2024-10-14 18:45:57
18054677452872617,al_fadilah13,Mulyono mulyono,2024-10-15 00:04:57
18047069917989602,airlangga_m_kertanegara,Dari pencitraan gorong2 menuju akhir dg pencitraan,2024-10-13 11:05:53
18057396097793526,m_budisetiawan,"APBN, Angaran Pencitraan Belanja Ndoro😂",2024-10-13 13:40:44
17988744587711940,mmakdang,Termasuk beberapa lomba foto yg dasar temanya 10 tahun @n0maden 🤣,2024-10-13 12:03:25
18165407329312319,iwandlone,Pantes si Budi Botak rajin bener nyebokin..,2024-10-13 14:45:20
18044070950094134,jianti80,rakyat kecil miskin bayar pajak uang nya buat bayar  influencer yg tambah kaya,2024-10-13 23:07:24
17942126306882789,pak_uja,"belum juga gajian masuk rekening udah potomg pajak duluan.,",2024-10-13 17:21:56
17952513074737654,herdisep2,"Demi Allah penguasa seluruh alam semesta ini, saya akan menuntut dia di dunia dan d akhirat kelak, atas apa yg dia lakukan kpd negara, saudara dan warga, atas kebijakan dan sifat mengacak acak nya",2024-10-14 19:23:59
17903776353049416,kancild,Masukin list yang sudah terpantau benar,2024-10-14 23:20:36
18055991443864489,bangsomad,"ga rela. tapi ya udah, biar nanti hisab akhirat aja yang menakar",2024-10-13 22:59:48
18127811746344140,riri_sulastri2,TEMPO The only one hope... 🔥🔥🔥🔥,2024-10-13 11:53:42
18008366672648382,sellynaputri_,Cuma majalah tempo yg apa adanya,2024-10-14 05:23:44
17935077440921572,ari_nasution03,"Pngen bgt d puja,bkin sekte aja pak",2024-10-13 14:14:16
18093925447463781,sis_susyrizky,Beliau memang Presiden terbaik Indonesia kok. Love u Pak Jokowi❤️🫰🇲🇨,2024-10-13 21:26:37
18025812071164673,berita_nasional_terkini,Nikel dan tambang habis habisan. Indonesia Emas tinggal kenangan 😂😂,2024-10-13 12:12:16
17907600912037378,masa_umum,"Gajah Mati Meninggalkan Gading,
Manusia Mati Meninggalkan Hutang.",2024-10-13 13:46:46
17909262276032714,thantyo.dp,Lagi nunggu komenan “anak abah sakit hati” di setiap pengkritik rezim 🙏,2024-10-13 12:08:07
17868910455213514,hanifahnurawaliah,"Presiden siapapun, pasti ada kekurangan dan kelebihannya. Tapi, kalau memang disetting kaya gini apalagi duitnya pakai pajak, hmmm.",2024-10-13 19:42:55
18035979608189936,elysafazriyah,Bener bener dah tukang kayu yg satu ini,2024-10-13 13:17:56
18026011844378665,citronella_wangi,gw doain anak cucu nya ga bahagia,2024-10-13 23:12:53
18043423558890439,ibrahim_bentos,"Gw suka dia karena dia suka musik2 cadas, selain itu no🙌",2024-10-14 04:26:05
17844661506334804,himatuszakyh,Nyala terus TEMPO🔥🔥🔥,2024-10-14 08:06:46
18049175137786846,dewo.suharyo,Style of gorong2 mulai digencarkan 😂😂😂,2024-10-14 08:58:04
18040461814906407,dhina_amalia,"Sdhlah pak @jokowi , rakyat sdh hapal trik nya, gk ada yg percaya. Lbh baik istirahat.",2024-10-13 11:59:16
18092223319486255,bengkelvespa_lansia,Situ yg buat propaganda min. Kan alatnya kebo merah,2024-10-13 12:17:07
18253229914255684,batas_timur,Presiden terburuk sejauh ini,2024-10-13 12:03:42
18030787307517400,iryana_rind,"Sudah tidak rispek sejak mulai  bangun dinasti politik dengan cara"" kotor itu Pak. Semua terlihat sebagai pencitraan saja sekarang",2024-10-13 11:19:03
18079580767527776,waizalqarnie,Prestasi hasil polesan,2024-10-13 11:04:22
18072721093599783,paman_reyy,SAYA AKUI KALAU BERHASIL PINDAH KE IKN. WKWKWK,2024-10-13 12:55:01
18058543840758965,andrygsetiawan,"tak respek. pujian setinggi awang, jatuh berdebam berkalang tanah.",2024-10-13 11:29:42
18042966920078008,nikoandika7017,Mau kayak gmna ajaa yg pnting 10 tahun ada hasilnya dan gak cuma mangkrak.. Kalo cuma modal bacot doank apa yg udah lu kasih buat negara ini???? Dn lu bacot tapi cuma penikmat hasilnya ajaaa😂😂😂😂😂,2024-10-13 20:34:44
18070304899542475,vaniiahamidah,semoga mulyono jawir masuk neraka amin,2024-10-13 13:11:02
