id,username,text,created_at
18023379044624235,pramonoaksa,😂,2024-11-14 12:21:13
18047338973501357,rokhim_moch,Lama lama koq eneg ya baca semua lawakan RK,2024-11-14 12:22:50
18059009350870668,teguhenterprise_,"Ketika menunggu yang di harapkan yaitu kedatangan bus tepat waktu, jikalau ada jeda menunggu artinya efektivitas bus masih kurang",2024-11-14 13:26:48
18057885019858268,ptrprnm,"Semakin ke sini, semakin ke sana. Goodluck Jakarta!",2024-11-14 12:27:41
17885459886150054,nano_s_magfur,Rada rada gmn gitu...,2024-11-14 12:22:17
17875050063204497,mhdimamreligi_,😂😂😂😂,2024-11-14 12:25:07
18364609393186573,iwanlukmanulhakim,Kenapa jadi gini pak RKnide gagasan nya😂,2024-11-14 12:25:30
18053719738764238,masbudsn,Makin kesini kok makin kocak,2024-11-14 12:21:44
18083442976534923,ojanarbi,Kenapa gak tj nya di perbanyak?😢,2024-11-14 13:37:37
17881398084174678,87bandung,Wkwkwkwk ngakak gua liatnya,2024-11-14 15:04:09
17906229717059308,mario0412,Masuk tj keringetan...mantap pak🤣,2024-11-14 12:16:51
17879026380187054,aarifkurn,Ntar di busway pada bau keringat 😂,2024-11-14 12:24:56
18024355586251138,mang_didingaja,"Ko idenya ngga ada yg memberi solusi? Bikin mobil konsultasi buat nanganin stress karena macet, bikin gym dijalan....Bapak kira Jakarta kaya jalan Braga atau Gedung Sate kali ya....berpikirnya aneh...",2024-11-14 12:24:25
17948194868888763,cak.mam_,Komedian kok jadi gubernur 😂,2024-11-14 12:17:58
18027909131391389,aulia.tazz,HADUH BAPAK INI TERLALU BANYAK FANTASI YANG JOMPLANG SAMA KONDISI LAPANGAN🙄,2024-11-14 12:22:00
18057330664851287,yanuar_aditya88,Besi penutup gorong-gorong aja hilang sampai Mulyono masuk 😂,2024-11-14 13:52:20
17993507369719743,firmansyahsiang,"Yg masuk akal aja klu mau buat ,bikin rusuh aja",2024-11-14 12:21:05
18031349300456430,hasemi_rafsanjani,Daripada tempat gym lebih baik ditambah lagi fasilitas untuk pejalan kaki dan bersepeda pa @ridwankamil,2024-11-14 12:26:28
17948469158896926,rifkygram_,Imajinasi sih bagus tp ga Ampe segitu nya kali😂,2024-11-14 12:23:11
17885182590069573,sandjayamartin,"Masa pke baju rapi2 malah keringatan pak, blm lg masuk tj penuh aroma😂😂😂",2024-11-14 12:20:06
17945413982910754,venjalank85,Haduh ada2 aja idenya 😢,2024-11-14 12:21:23
18369948052128758,euyunyunbabys,Fix kalah ni orang😂,2024-11-14 12:31:29
17902697048979367,anjas_chambank,Terlihat beda bukan berarti ngaco 😂,2024-11-14 15:33:21
18265033999301347,ryangunawaann,"Apalagi sih anjir, lu gabut ya ikut nyagub",2024-11-14 13:18:38
17875360707206338,jeffsandakh,"Kok rada gmn ya dengan gagasan"" RK ini, itu Jakarta udh panas, orang sudah keringetan kali pak tanpa perlu gym. Daripada mikirin waktu tunggu, mending pikirin gimana carany tuh transportasi umum bisa tepat waktu.. kecuali situ lagi sibuk mikirin imajinasi"" baru untuk proyek #ups",2024-11-14 12:19:30
18054290779929236,izradrum45,Bapak dulu yg nge gym pinggir jalan sambil pake kaos Persija,2024-11-14 12:25:59
18068227930654070,nidoajaa,Wah keren jakarta bakal jadi vrindapan 😂,2024-11-14 12:21:50
18283199935241636,wirdanm_,Siap siap bau ketek diangkutan umum,2024-11-14 12:16:27
18079002055560476,la.rinal,"Sebenernya alat gymnya fine2 aja kalo di taman2 area pemukiman, cuman kalo ditaro dipinggir jalan buat sambilan nunggu transjakarta itu agak kelewatan sih imajinasinya.",2024-11-14 12:21:25
17993679887709614,hamzahahmadhanif,masuk TJ berdiri ketiak basah😂,2024-11-14 12:25:27
18275541253218726,juliantosetiawannn,Mending taro takjil. Bentar lagi puasa,2024-11-14 12:25:00
18046888910010780,kaif.sarfaraz.1,Nanti hilang ngga?,2024-11-14 12:16:30
18016733999370479,farissultan.fs,masuk tj bau asem👏,2024-11-14 12:21:59
18060185977677929,satr1a.itm,Ide yg paling tdk berguna?,2024-11-14 19:07:20
18319668814087396,kucing_oyyeenn,Ang ang ang ang ang...,2024-11-14 12:59:26
18012206492445617,drhzlfrs,Besi gratis,2024-11-14 12:17:07
18042181954963133,mas.mznoor,Ini org makin edan,2024-11-14 15:49:09
18053690140906266,julius_handoko,Kalo punya gagasan untuk Ibukota minimal yang ciamik lah🤣🤣 ini abal2,2024-11-14 12:16:17
18024733457612606,alvin_grp,"Semerbak bau ketek di trans Jakarta, sambil pegangan ketek terangkat. Sungguh brillian dan out of the box.",2024-11-14 12:23:46
17969648261801296,tehtongtje,"Mentang2 boneka Mulyono, jd pengen semua penumpang bus bau ketek Erina semua",2024-11-14 12:21:25
18050099005820202,__kamal5,Halah euy,2024-11-14 12:22:17
17927808014969529,fhilip.p.a,"Ga usah member gym, naik TJ aja @ekaarditaaaa",2024-11-14 12:29:27
18037545035247556,sunanditaf,Keburu diambil klan mexico 😂,2024-11-14 12:17:14
18064255849689076,vicky.andriansyah33,Apek lah 🧱,2024-11-14 12:24:50
18317885026095466,hanyamenjawabbenar,"WKWKW ASBUN! NOH ALAT GYM BANDUNG KABARNYA GIMANA PAK? DI PAKE KAGAK, RUSAK IYA😂😂😂😂😂😂😂😂😂😂😂",2024-11-14 12:17:46
18049155596506778,hermanbpp8,Kebanyakan silikon jadi begini jadinya 😂😂😂,2024-11-14 12:19:49
18072856894613313,novri_helmi,sampai sekarang RK belum ketemu formulasi JKT Top 😂,2024-11-14 12:54:33
18038979299267238,rio_ramabaskara,@amron_asyhari pasti senang,2024-11-14 13:16:25
18029847302156552,nafi.widyarahman,😂😂😂,2024-11-14 12:21:13
17906615712059319,firman_mulyanaa,😂😂,2024-11-14 12:22:09
18132482326340107,budialesana,😂😂😂program nya top semua,2024-11-14 12:22:18
18046019968879359,warge_doncarlo,"dut badut aneh aneh gebrakan lo, udeh sono balik anjing",2024-11-14 12:22:30
18375026806110552,silenthistory.id,😂,2024-11-14 12:22:40
17851645677286498,okkyeltro,"Kenapa ya program RK aneh"" 😂😂😂, aku pikir bakal bagus progam""nya😂😂",2024-11-14 12:23:53
18136280323370032,mohdavi27,Saya takut ke gym.. karena cowo berotot tapi.. 😑,2024-11-14 12:27:44
17846781072346656,risky.angga29,😂😂😂😂😂😂😂😂😂,2024-11-14 12:27:52
18250275511286334,_amrimuhammad_,🙌imagination🙌,2024-11-14 12:28:02
17922789194892201,agief_mm,Olahraga itu habis sholat subuh.....mandi....sarapan berangkat kerja........ Klo udah mau kerja disuruh ngegym sambil nunggu angkot apa itu waras???,2024-11-14 12:28:11
18039449045236444,hidupsedetik,kocak,2024-11-14 12:28:29
