id,username,text,created_at
17980637888770181,dewiuwitwiw,Setiap hari nontonin sinema indosiar pasti,2024-10-29 03:34:32
17988277139592620,pakjanur,Berarti kalo nongkrong di wc ga bawa hp? Apa enaknya,2024-10-29 08:26:06
18006676418491073,ibaymochamad,"Itukan pilihan yah, knp kita ributin hehe",2024-10-29 05:30:46
18009968459462036,rizkyrsl,"Kebetulan buk, sutradara james bond sekarang lagi butuh pemeran james bond baru. Alesan daniel craigg uda pensiun, Minat kah?",2024-10-29 05:23:20
18008667005651995,fikram_zain,Di umur segitu emang lagi seneng² nya becanda. 🤭🤣,2024-10-29 06:41:41
18047575337056830,priche_dewantie_haroen,sehat sll ibu Megawati,2024-10-29 06:50:01
17926614848863606,sharkieshz_,LAH TERUS YANG BUAT VIDCALL PA JOKOWI TAUN LALU TU PAKENYA APAAN? TELEPATI GITU?😭,2024-10-29 12:40:58
18013071008654627,amsyari17,Astaga NPD banget,2024-10-29 03:31:10
18076340083568122,abdu.lahh,Udh masuk ktegori NPD ga sih ini  nenek chiyo🗿,2024-10-29 03:37:21
18257770834250519,saripati.kopi,"Lah, padahal nungguin selfienya, cantik, berkharisma. Menyala ibu mega😂👏",2024-10-29 03:32:05
18071825200535931,hendra_via16,"Biar keliatan penting terkadang manusia membicarakan kepentingan nya sendiri, padahal gak terlalu penting bagi masyarakat",2024-10-29 05:15:13
18076910038513170,vera.ang,Umur segini emang lagi lucu-lucunya🤏🏻,2024-10-29 03:36:34
18153211459330437,bryanvirnando,Terus gimana kalo mau maen ML bu?,2024-10-29 05:29:06
18066821989650054,target_menang,Bedanya dgn gaptek?,2024-10-29 03:33:11
17867446038237062,baguzpriyo,tipikal suka ikut campur rumah tangga anak kayaknya,2024-10-29 04:18:29
18037897145221298,teronq,Nenek komunikasinya pake kaleng yg dikasih benang ya 🤣,2024-10-29 04:35:07
18046907125848741,rickyricky21,Iyaaa iyaa iyaaaa...,2024-10-29 03:32:16
18119353000397796,iwan_ryoichi,Nenek sy Yg usianya hampir sama dengan ibu Mega juga gak pegang hape...tp bukannya takut disadap tp emang gaptek apalagi tangannya sedikit tremor jd susah pakai touch screen😂,2024-10-29 05:20:24
17886931842105148,salsalukiana,@prettymuchmoon nenekmu knp dh,2024-10-29 07:58:41
18075424864579024,imboim_,Pick me,2024-10-29 03:50:51
17934409838944669,dewa.inc,"Kaya saya ga pake hape, komunikasi sama orang tua pake baskom isi air.",2024-10-29 03:38:22
18065157223734419,samsuisthe,"parah bukan negarawan sejati,,,pura2 fluu,,,",2024-10-29 03:34:15
17992285070561198,afifub,Hah?,2024-10-29 03:34:36
17869965057218463,maskennzo,"rezim nenek memang menyeramkan, tapi akibat lu buka peluang di gorong², maka terciptalah pemimpin yg lebih menyeramkan darimu nek, sekejap aja tuh yono bisa buat anaknya jd wapres. Skrg lu nyesel kan nek?",2024-10-29 03:37:05
18072965425608203,patangpuluhpatang96,Aa drawing sedang memantau,2024-10-29 03:34:12
18044395421488553,andgntraa_,bukan ga punya tp GAPTEK ga bisa cara make nya 😢,2024-10-29 04:55:32
18247906801278885,dimas.cakraningrat,Lah lapo,2024-10-29 07:05:03
17911886801934587,gilang_angggaaa,"Kasian presiden give away yang satu ini, tiap hari harus mendengar hasutan hasutan para petinggi partai 😂 udah sepuh harusnya nikmatin, contoh pak Sby. 
Berpolitik boleh tapi mbok ya sewajarnya saja, bikin suasana politik yg adem sejuk bukanya tiap statement kesanya bikin gaduh dengan pernyataan yang gak jelas di tujukan ke siapa.",2024-10-29 03:45:58
18101881525454167,yudhaginting_,"umur segini emang lagi seru serunya ya nek, uda nengok live shopee nek?",2024-10-29 04:56:30
18008316689655724,billy_setiawan14,"Buu,,, istighfar Bu ... Istighfar.... Nyebutt buuu.... Nyebutttt",2024-10-29 04:36:35
18019402202319447,akhsanhakim,,2024-10-29 03:38:50
18021973055272437,botelletob,Emg gitu kalo udh umur2 segini,2024-10-29 03:42:08
17911692585011737,erwinwijaya.mus,Diatas presiden masih ada bu megaa 🔥,2024-10-29 03:31:11
18075387496605549,wanita_.saya,Ibu tdk sepenting itu,2024-10-29 06:00:21
18051080230769093,yudi.pare,"Ah kyk saya nih, kontak anak di sekolah pake gelombang UHF/ VHF. Ga pake HP",2024-10-29 03:32:24
18007364708488157,factual.id,"No smartphone needed, Queen of Redbull use telepati and astral projection to comunicate 👏",2024-10-29 03:33:52
18050103073807207,folkmedsos,"ibu emang paling keren sih, ga pake hp loh beliau, ayok semuanya tepuk tangan yang meriah",2024-10-29 03:48:55
17885895462134198,riahiriani,Gara gara lu buka gorong gorong jadi hancur demokrasi indonesia,2024-10-29 03:34:54
18206558341289306,mohammadridho_05,"Iyaa nek keren, keren bingittttzzzzzz 😭",2024-10-29 23:04:14
18055361914879733,asyfirayhani,Maksudnya apa ya,2024-10-29 05:27:59
18072179521614937,vandivaaa,Sampean iku pohon karet ta bu? Lha kok disadap?,2024-10-29 12:10:18
18093268216485813,strenitter,Pakai surat pak pos,2024-10-29 04:44:03
18055841896889778,zatazhaf,Ternyata orang berkarisma ga perlu hp 😭🙏,2024-10-29 04:04:35
18061528450781455,dennis_fiyanti,Gak bisa maen candy crush😢,2024-10-29 06:31:50
17848490904331434,bravehe4rtoo,,2024-10-29 03:32:25
18070673959622711,aadayhopper,Anjay keren banget Kaka 😂😍😍 @ibnuspptra @aziz_r02 @kferdiansah08,2024-10-29 12:52:20
17952579245743222,new69cafe,Keren PRET......,2024-10-29 12:04:08
18074514112523834,ronaldardiles,Berart ibu tidak akan pernh berkembang dg berkembangnya zaman. Btw admin gerindra grrcep lo bu ..,2024-10-29 03:40:14
17895427278089297,wahyuantowibowo28,Iya benar .. ibu mega dari dulu tidak pernah pakai HP .. 👏,2024-10-29 09:34:53
18124261558379957,kopilawak.official,Pake telepati kayaknya,2024-10-29 03:36:16
18095480650480885,ini_budi31,Iyain saja 😂,2024-10-29 03:44:06
18075335212572119,ameliasepta,Ah masak😂,2024-10-29 04:36:21
18041801434926623,tejhagans,Yaa mungkin ngda lagi yg menghubungi kan udah ngk ada kepentingan lagi😂,2024-10-29 08:56:23
17887830450106728,aries.munandar.3785,kalo lagi pidato selalu gak ada mutu dan kualitasnya isinya .. emang masih bisa baca wa apa ? 😎😃✌️,2024-10-29 06:55:37
18254200348269713,intanrima,Dih @ahmadnurmiranto,2024-10-29 08:24:38
18053766199913201,wildanrenaldi,Pantes sering flu flu 🤧 toh 😂😂,2024-10-29 08:15:54
17919635216994272,halomuti,"Konseling ke psikolog buu, ciri2 npd itu kayanya",2024-10-29 07:09:24
17943952496781715,nandaaaaaaaaaa_03,HAHAHAHAHAH....,2024-10-29 07:08:11
18025969088452152,chiang_76,Yang tanya siapa nek?,2024-10-29 03:34:14
17981129126758755,mahesa_althaf,Mungkin yg pegang baby sitternya...takut kegandrungan game online 😂,2024-10-29 04:53:33
17996466908529443,dediekasahputra,"Penting gak sih, nenek kadaluarsa begini d liput.....gak da ngaruh apa2 bagi kita.....",2024-10-29 06:49:46
18045712850500442,m.hafiznizar313,,2024-10-29 06:55:18
18064191358670859,randiadhianta,@bayuputra_p,2024-10-29 04:54:47
18014414423373267,daisyawondatu,"Bu, saya kasih tau ya, sekarang lagi viral lagu APT.",2024-10-29 04:21:45
18020646812545512,tomy8315,Hehehehe Iya Bu atur2 😂,2024-10-29 03:32:53
17863470447253840,daevoost,Funfact: Indonesia adalah negara dengan tingkat skizofrenia paling tinggi di dunia.,2024-10-29 05:58:00
18151083124331760,akufitt,Enggak,2024-10-29 03:32:06
18151460740333359,verooogabriel,Komunikasi pake kaleng kental manis dikasih tali 🙌,2024-10-29 05:34:45
17903348856051936,riska_n.p17,😂😂😂😂😂,2024-10-29 03:33:07
18037059131021184,suryaadityaa,Kaya denger Arie ngomong @adi_wepe @fathurakmal @aryarma,2024-10-29 04:33:05
18144703018344120,bodo.amattlahh,,2024-10-29 05:22:36
18057957409828852,rosspraa,😂,2024-10-29 03:56:04
17984663567758160,anda_ope,Dih😏..,2024-10-29 03:31:55
18107715280440542,binaratmaja,"kenapa gak punya hape? karena gak ada yang ngajakin koalisi buk, 😂",2024-10-29 04:48:05
17856738063282593,faiz_widyarso,Tidak peduli🔥,2024-10-29 03:33:49
18342406885133354,susanto3467,Iya iya iya terserah kamu bu😂😂😂,2024-10-29 03:32:20
18020318021305684,bimo_oss,,2024-10-29 04:08:09
17940045578920470,mlnrstt,Ini pelakunya @ikaapl,2024-10-29 04:35:53
18037569410467783,fee.riswandy,Duh lucunya nenek itu 😂,2024-10-29 03:32:21
18069164017628166,wimzpratama,"Nanya sendiri , jawab sendiri 😍",2024-10-29 03:33:45
17924944766969259,hincqwer,Situ sebenernya gaptek apa gimana si??,2024-10-29 04:12:11
18029559017136137,pancaarr,Pakai telegram aja bu,2024-10-29 03:31:42
18096687760463602,bebedjebred,Pede amat,2024-10-29 03:32:19
17847416781311032,nyaii_ge,Allohu,2024-10-29 03:32:45
17984747303739448,afdil_dw,Iya toh hooh toh tenan toh,2024-10-29 03:33:20
18119140375404253,callmejendral,Si nenek kenapa sih,2024-10-29 03:32:25
18031360844341749,bryanrachma13,NPD tuwir bangka memang pantasnya gak dikasih panggung. Semoga tenang di alam sana.,2024-10-29 03:32:34
18051678184754468,syifa_labibatul_alya,Iya Bu tak punya hp tapi punya ajudan yg pegang hpnya,2024-10-29 03:35:55
18144088732352745,albhii.kopling,,2024-10-29 03:33:27
18378333637100179,suspranggono,Kok iso i lhooo?,2024-10-29 03:33:16
17983547681716711,auliarizqim,dih,2024-10-29 03:33:07
18019954889539690,bayu_gejage,Iyo keren,2024-10-29 03:31:58
18095592559470992,zefarifki,Pantesan BAPERAN...,2024-10-29 05:29:55
18034857062212904,afiffnr,rak butuh kerenmu mbah sumpah😭😭,2024-10-29 05:30:04
17943808199883380,prihastohasto,Org yg kelewat PD itu bisa jd memasuki fase pikun,2024-10-29 05:30:11
18038579972184252,santikasakti,"Wajar beliau tau, wong sebelumnya yg jabat kepala BIN pak BG",2024-10-29 05:30:30
18029040866140685,rw15_wedi,Bu Mega order goput pakai naga anglingdarma 🗿🐉,2024-10-29 05:30:32
18064457473679516,antosetiawanz,,2024-10-29 05:30:32
18029290661139838,andimuslimahnf,😢,2024-10-29 05:30:36
18087474610459108,mrachman77,😂😂😂,2024-10-29 05:31:25
17871501252208741,setypran,Pasti tiap pagi nonton upin-ipin,2024-10-29 05:32:14
18024665186228223,rebeljack305,Valak,2024-10-29 05:32:35
17966866601676559,rumy4768,🤣🤣,2024-10-29 05:34:31
18020898647305742,torrence_palar,😂😂😂😂,2024-10-29 05:34:45
17886531900056753,basec.bdg,Pakenya wartel 👏,2024-10-29 05:34:55
18040153046172565,revin_fasril03,009 ini bosku @alfian.erik,2024-10-29 05:35:31
18048699694819924,ro_ctvn,Padahal main pesbuk di hp tuh seru lhoh bu. Kayak ibu2 lainnya kan gitu,2024-10-29 05:36:13
18071241283556674,ade_moh_nursyarif,Preeeettttttt,2024-10-29 05:37:32
18286769191209684,gunturkurniawan19,Nenek chiyo kena NPD,2024-10-29 05:39:11
18062004073749062,mak.silir,"Semoga panjang umur ya bu, biar bisa menghibur rakyat konoha 🤲",2024-10-29 05:39:56
18048779128983110,duaratuslimadua,Sama kaya nenek gw gk bisa hp,2024-10-29 05:40:09
18028407122523752,walidnaruto007,"Skrg dia udah makin pinter ngibul,udah pinter playing viktim n sandiwaranya dah ngalahin artis sinetron..👏😂",2024-10-29 05:40:11
17912467625928949,yanimariayani,BOSAN,2024-10-29 05:40:52
