text,sarcasm_label
Setiap hari nontonin sinema indosiar pasti,Sarcasm
Berarti kalo nongkrong di wc ga bawa hp? Apa enaknya,Non-Sarcasm
"Itukan pilihan yah, knp kita ributin hehe",Sarcasm
"Kebetulan buk, sutradara james bond sekarang lagi butuh pemeran james bond baru. Alesan daniel craigg uda pensiun, Minat kah?",Non-Sarcasm
Di umur segitu emang lagi seneng² nya becanda. 🤭🤣,Sarcasm
sehat sll ibu Megawati,Non-Sarcasm
LAH TERUS YANG BUAT VIDCALL PA JOKOWI TAUN LALU TU PAKENYA APAAN? TELEPATI GITU?😭,Non-Sarcasm
Astaga NPD banget,Non-Sarcasm
Udh masuk ktegori NPD ga sih ini  nenek chiyo🗿,Non-Sarcasm
"Lah, padahal nungguin selfienya, cantik, berkharisma. Menyala ibu mega😂👏",Sarcasm
"Biar keliatan penting terkadang manusia membicarakan kepentingan nya sendiri, padahal gak terlalu penting bagi masyarakat",Non-Sarcasm
Umur segini emang lagi lucu-lucunya🤏🏻,Non-Sarcasm
Terus gimana kalo mau maen ML bu?,Non-Sarcasm
Bedanya dgn gaptek?,Non-Sarcasm
tipikal suka ikut campur rumah tangga anak kayaknya,Non-Sarcasm
Nenek komunikasinya pake kaleng yg dikasih benang ya 🤣,Sarcasm
Iyaaa iyaa iyaaaa...,Non-Sarcasm
Nenek sy Yg usianya hampir sama dengan ibu Mega juga gak pegang hape...tp bukannya takut disadap tp emang gaptek apalagi tangannya sedikit tremor jd susah pakai touch screen😂,Sarcasm
@prettymuchmoon nenekmu knp dh,Non-Sarcasm
Pick me,Non-Sarcasm
"Kaya saya ga pake hape, komunikasi sama orang tua pake baskom isi air.",Non-Sarcasm
"parah bukan negarawan sejati,,,pura2 fluu,,,",Non-Sarcasm
Hah?,Non-Sarcasm
"rezim nenek memang menyeramkan, tapi akibat lu buka peluang di gorong², maka terciptalah pemimpin yg lebih menyeramkan darimu nek, sekejap aja tuh yono bisa buat anaknya jd wapres. Skrg lu nyesel kan nek?",Non-Sarcasm
Aa drawing sedang memantau,Non-Sarcasm
bukan ga punya tp GAPTEK ga bisa cara make nya 😢,Non-Sarcasm
Lah lapo,Non-Sarcasm
"Kasian presiden give away yang satu ini, tiap hari harus mendengar hasutan hasutan para petinggi partai 😂 udah sepuh harusnya nikmatin, contoh pak Sby. 
Berpolitik boleh tapi mbok ya sewajarnya saja, bikin suasana politik yg adem sejuk bukanya tiap statement kesanya bikin gaduh dengan pernyataan yang gak jelas di tujukan ke siapa.",Sarcasm
"umur segini emang lagi seru serunya ya nek, uda nengok live shopee nek?",Non-Sarcasm
"Buu,,, istighfar Bu ... Istighfar.... Nyebutt buuu.... Nyebutttt",Non-Sarcasm
,Non-Sarcasm
Emg gitu kalo udh umur2 segini,Non-Sarcasm
Diatas presiden masih ada bu megaa 🔥,Non-Sarcasm
Ibu tdk sepenting itu,Non-Sarcasm
"Ah kyk saya nih, kontak anak di sekolah pake gelombang UHF/ VHF. Ga pake HP",Non-Sarcasm
"No smartphone needed, Queen of Redbull use telepati and astral projection to comunicate 👏",Non-Sarcasm
"ibu emang paling keren sih, ga pake hp loh beliau, ayok semuanya tepuk tangan yang meriah",Non-Sarcasm
Gara gara lu buka gorong gorong jadi hancur demokrasi indonesia,Non-Sarcasm
"Iyaa nek keren, keren bingittttzzzzzz 😭",Non-Sarcasm
Maksudnya apa ya,Non-Sarcasm
Sampean iku pohon karet ta bu? Lha kok disadap?,Non-Sarcasm
Pakai surat pak pos,Non-Sarcasm
Ternyata orang berkarisma ga perlu hp 😭🙏,Non-Sarcasm
Gak bisa maen candy crush😢,Non-Sarcasm
,Non-Sarcasm
Anjay keren banget Kaka 😂😍😍 @ibnuspptra @aziz_r02 @kferdiansah08,Sarcasm
Keren PRET......,Non-Sarcasm
Berart ibu tidak akan pernh berkembang dg berkembangnya zaman. Btw admin gerindra grrcep lo bu ..,Non-Sarcasm
Iya benar .. ibu mega dari dulu tidak pernah pakai HP .. 👏,Non-Sarcasm
Pake telepati kayaknya,Non-Sarcasm
Iyain saja 😂,Sarcasm
Ah masak😂,Sarcasm
Yaa mungkin ngda lagi yg menghubungi kan udah ngk ada kepentingan lagi😂,Sarcasm
kalo lagi pidato selalu gak ada mutu dan kualitasnya isinya .. emang masih bisa baca wa apa ? 😎😃✌️,Non-Sarcasm
